year, INM-CM4-8, TaiESM1, CESM2-WACCM, UKESM1-0-LL, EC-Earth3-Veg, IPSL-CM6A-LR, MIROC-ES2L, MPI-ESM1-2-LR, GFDL-ESM4, NorESM2-LM, CNRM-ESM2-1, ACCESS-ESM1-5, INM-CM5-0, NorESM2-MM, CMCC-CM2-SR5, CanESM5
1.880000000000000000e+03, 7.998797364451867509e+00, 6.329360788565813856e+00, 7.813491569766024547e+00, 8.379996447523195613e+00, 5.739075296278450367e+00, 5.045737454005944755e+00, 9.051501460020492829e+00, 8.337123689844039731e+00, 8.554121287319341960e+00, 7.015281694349126518e+00, 6.349305318250955565e+00, 6.177642456537779658e+00, 8.551251222024642829e+00, 6.923700246171870631e+00, 8.424727067265179059e+00, 8.450477773042493368e+00
1.881000000000000000e+03, 7.974228778543034579e+00, 6.253322048239746245e+00, 8.547793699619026242e+00, 7.818252490390297460e+00, 5.389777450540572445e+00, 4.925661611377915250e+00, 1.020971002373839731e+01, 8.390937114085012638e+00, 8.454957498347967615e+00, 6.957530953463641588e+00, 6.815656832016616207e+00, 6.260469779242624710e+00, 8.272892468769381225e+00, 7.239936039971180293e+00, 8.456037450692056368e+00, 8.698855388622888540e+00
1.882000000000000000e+03, 8.558987622905135595e+00, 6.065051318100525002e+00, 8.170733415429930702e+00, 8.035508658255874792e+00, 5.529267341618552933e+00, 4.694189730688326456e+00, 9.513768332310487352e+00, 8.022184140246627848e+00, 8.354843901062269040e+00, 6.926871821526249029e+00, 5.999615866226934990e+00, 6.251967689931582584e+00, 7.954004562224290531e+00, 7.081853958715791819e+00, 8.442793627791344235e+00, 8.411817465756517009e+00
1.883000000000000000e+03, 8.168128808314502720e+00, 5.973363922717362939e+00, 7.848777716604604215e+00, 7.851510730803654248e+00, 6.413539423016966445e+00, 4.458165365730159202e+00, 9.092103586449756136e+00, 7.941195903785183141e+00, 8.881228201520000809e+00, 7.706774951654921324e+00, 6.384672346315621638e+00, 6.423607515336869689e+00, 7.997087701408386096e+00, 7.429679617623523136e+00, 8.606713742375079690e+00, 8.293258259713057967e+00
1.884000000000000000e+03, 7.907546166941244792e+00, 6.026357775642956049e+00, 8.143245097777780828e+00, 8.149909474066436843e+00, 6.038501904878812887e+00, 4.378465977024315059e+00, 9.390524677559788813e+00, 7.598560066634370003e+00, 8.062138251205196227e+00, 7.161690293227120918e+00, 6.281288678832887662e+00, 6.512372479882149179e+00, 8.123815506287471067e+00, 7.191173068554794767e+00, 8.127023111261708621e+00, 8.168406135197431084e+00
1.885000000000000000e+03, 7.757872316117368605e+00, 5.942948131416674329e+00, 8.161311483773587838e+00, 8.302342871670488123e+00, 5.884888567664956049e+00, 4.324391708337274487e+00, 9.199073347496860009e+00, 8.566749611938217157e+00, 7.914534258859156957e+00, 6.979142805670681682e+00, 6.137012824653433896e+00, 6.381883552061579756e+00, 7.981505534859642204e+00, 7.127733234491716807e+00, 8.474310953298928695e+00, 8.152001751661872575e+00
1.886000000000000000e+03, 7.916751017795772505e+00, 6.176101260808348314e+00, 8.326607857517936750e+00, 8.217124816598623482e+00, 4.833379595099970061e+00, 4.286846654724032035e+00, 8.978035602348910516e+00, 7.895848544040725336e+00, 8.750050224547285538e+00, 7.470613507107399798e+00, 6.052141896892234030e+00, 6.451030448312341292e+00, 8.032868474092744293e+00, 7.621855041296586641e+00, 8.432032670574919564e+00, 7.853334731299423943e+00
1.887000000000000000e+03, 7.784332650675059639e+00, 5.911613888712866860e+00, 7.949755241064554667e+00, 7.935215459303812224e+00, 5.283014909716053253e+00, 4.593653405413401281e+00, 8.469154254281530569e+00, 8.071943246039781528e+00, 8.475637864450325409e+00, 6.987648300157777825e+00, 6.557547582633773686e+00, 6.075775357451612457e+00, 7.774765872424691970e+00, 7.410983895508725716e+00, 8.340755812864758312e+00, 8.497555807617203527e+00
1.888000000000000000e+03, 7.979854971226997051e+00, 6.058760396843118734e+00, 7.839590835558156279e+00, 8.066737435051601679e+00, 5.090704615491683072e+00, 4.405265779128556325e+00, 9.276832319237431790e+00, 8.758449109105045594e+00, 8.239173492863546500e+00, 6.632015124331667622e+00, 6.483362243850290696e+00, 6.165001731946402330e+00, 8.260010121621448320e+00, 7.017332947368450036e+00, 7.981619149682038561e+00, 8.485526118322910705e+00
1.889000000000000000e+03, 7.897691029765499415e+00, 5.835133260268682065e+00, 8.148023286565109657e+00, 8.328307337208233463e+00, 5.560484625079190835e+00, 4.413789490021266637e+00, 9.250441084255173863e+00, 7.843466514852784677e+00, 8.419220195790794392e+00, 6.388965179580059051e+00, 6.375944770426491992e+00, 6.144363639308800806e+00, 7.933994224208730905e+00, 7.292041379555501912e+00, 8.347408723041427336e+00, 8.208799545233482320e+00
1.890000000000000000e+03, 7.920007110443948228e+00, 5.704322630587291165e+00, 7.540900614443610372e+00, 8.100273649914065288e+00, 5.894876442218604851e+00, 4.573761629160876474e+00, 8.909886514277642888e+00, 7.912362925246171130e+00, 8.376660966040649470e+00, 6.972994416380682736e+00, 6.267446442163013387e+00, 6.075130502948779210e+00, 7.806178003312451708e+00, 7.107682673171319188e+00, 8.214466430978216493e+00, 8.301864344485201386e+00
1.891000000000000000e+03, 7.791749640483938144e+00, 5.686654967056802512e+00, 7.709469386660308565e+00, 8.157945118111650018e+00, 5.723510182614958808e+00, 4.365549539349559360e+00, 8.750202718515765810e+00, 8.254554037240367848e+00, 8.206329108092335289e+00, 6.903371999711934492e+00, 5.935370388894064320e+00, 6.229259039078347548e+00, 8.252374980614744615e+00, 6.275175505659171371e+00, 8.313088038609135921e+00, 7.895121508355450679e+00
1.892000000000000000e+03, 7.248309081782809749e+00, 5.888661031770284993e+00, 7.557420557940557337e+00, 8.911545097478166255e+00, 6.026237686700762097e+00, 4.799522184004673342e+00, 9.406904481872535584e+00, 8.020407331938725903e+00, 8.152698267284797851e+00, 6.753610645903629361e+00, 6.185106305095369628e+00, 6.223734014771655332e+00, 7.643352038397253523e+00, 6.679645507421342998e+00, 8.170099804225879225e+00, 8.287067309565612661e+00
1.893000000000000000e+03, 7.775002000742002650e+00, 6.129124994721301789e+00, 7.719997270694602065e+00, 8.335602529675540495e+00, 5.476826643526096383e+00, 5.016121154497494850e+00, 9.298405962203169395e+00, 8.883539479050208243e+00, 8.240020879581283708e+00, 7.480517793298858464e+00, 5.921807678027033006e+00, 6.042545602909632052e+00, 8.379438882847855652e+00, 7.233882912429245415e+00, 7.658491831452786336e+00, 8.249733350859623116e+00
1.894000000000000000e+03, 7.438944506174448357e+00, 5.862319110311105419e+00, 7.835593071468981208e+00, 8.481260384905993988e+00, 6.181816083952546670e+00, 4.596244226518009235e+00, 8.764607396110717374e+00, 8.308661122227375628e+00, 8.485679464601824762e+00, 7.549069377960933025e+00, 6.959530927696618186e+00, 6.010355421791921948e+00, 8.154101405999409025e+00, 7.026309271476553597e+00, 8.429880620030502314e+00, 8.274789668654339181e+00
1.895000000000000000e+03, 7.769781440305196796e+00, 5.665168117105819690e+00, 7.970772428282191235e+00, 8.314173114810865073e+00, 6.120262219336625620e+00, 4.760331422409073809e+00, 9.385383569274118543e+00, 8.469486265176874085e+00, 8.144015699238183359e+00, 6.880259320728879580e+00, 6.359093021826828007e+00, 6.056893236077528719e+00, 7.975721337895608443e+00, 6.818230876985714950e+00, 8.815466429426738415e+00, 8.153897682069858988e+00
1.896000000000000000e+03, 7.666734934596352247e+00, 6.199428994839569107e+00, 8.865019188129855010e+00, 8.565597731352797339e+00, 6.000693335675375550e+00, 5.022841058898131372e+00, 8.692699053868897963e+00, 7.635206241584462816e+00, 8.254138250864762938e+00, 7.740788728407234309e+00, 6.229098313381984831e+00, 6.235534828811757357e+00, 8.700990970960702953e+00, 7.302548012483120132e+00, 8.400441008811711185e+00, 8.653656422067962595e+00
1.897000000000000000e+03, 8.143426387927028998e+00, 5.717327473429389961e+00, 8.197727182700255355e+00, 8.037174121166520635e+00, 6.408616962135070594e+00, 5.417957903660734154e+00, 9.040284601090281313e+00, 8.182073018626807581e+00, 8.827099667070090305e+00, 7.700617067370809643e+00, 6.700891183472846180e+00, 6.137042440576810698e+00, 8.297233080473059630e+00, 7.546374489342230873e+00, 8.838484856285401037e+00, 8.283780426122000051e+00
1.898000000000000000e+03, 8.450167780209758561e+00, 5.836489964156472254e+00, 8.114583271173563261e+00, 8.775920175021857617e+00, 6.526878681031506702e+00, 4.830908525130522158e+00, 9.604658596517884561e+00, 8.362909612168923701e+00, 8.405654966757261093e+00, 7.904774979374677102e+00, 6.361466230160551127e+00, 6.277250511854516546e+00, 8.489901219412802291e+00, 7.246567329811514746e+00, 8.527396102526370925e+00, 8.387168615576440445e+00
1.899000000000000000e+03, 8.128529982345110483e+00, 5.707562748411827869e+00, 8.091652375050539803e+00, 8.231751439791336722e+00, 6.642403495720108353e+00, 4.952327883287071408e+00, 9.262894433360772339e+00, 8.285482316886286114e+00, 8.819286693444807312e+00, 7.507345722780157438e+00, 6.427764978886869152e+00, 6.072026150264983713e+00, 8.346166232457560952e+00, 7.568722284575980730e+00, 9.040975232483674517e+00, 8.302414821833968617e+00
