year, GFDL-ESM4, CanESM5, NorESM2-LM, EC-Earth3-Veg, NorESM2-MM, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, CMCC-CM2-SR5, ACCESS-ESM1-5, MIROC-ES2L, UKESM1-0-LL, CNRM-ESM2-1, TaiESM1
1.880000000000000000e+03, 4.060032932207611189e+00, 4.788385228577206831e+00, 3.397046748587203790e+00, 2.422974927138147105e+00, 3.521307627253213557e+00, 3.921335149621305138e+00, 1.995631755500665072e+00, 4.527417684619051919e+00, 3.922223856461366065e+00, 3.715846863455068760e+00, 5.546518522599621193e+00, 4.690041529645560203e+00, 4.379544525756612572e+00, 2.248045073824421536e+00
1.881000000000000000e+03, 3.953129434332755654e+00, 4.859540991601443594e+00, 3.195818298047349515e+00, 2.612080713604602700e+00, 3.416970147450367090e+00, 4.150945667789284421e+00, 2.047104082667011049e+00, 4.477742277641956647e+00, 4.063984589907743583e+00, 3.686871346116193937e+00, 5.674422452658856031e+00, 4.872602641025766346e+00, 4.292163345549737663e+00, 2.237262573668991728e+00
1.882000000000000000e+03, 3.976724262486876160e+00, 4.724987247260666656e+00, 3.334155988082296407e+00, 2.550378079744679116e+00, 3.331352326746968906e+00, 4.066030742383943242e+00, 1.912792992536238579e+00, 4.570936341021369920e+00, 4.095907630732548377e+00, 3.588775404485763598e+00, 5.809629047879727892e+00, 4.644115772868570247e+00, 3.975062739221224106e+00, 2.229380530078849176e+00
1.883000000000000000e+03, 4.250403902950711910e+00, 4.698553690396110483e+00, 3.404297758653089812e+00, 3.088645575022498591e+00, 3.633033607611242832e+00, 3.985492705924726486e+00, 1.914692012352230854e+00, 4.658764001991800185e+00, 4.078685161027010508e+00, 3.640650424327886991e+00, 5.652146299273099750e+00, 4.583447287387300229e+00, 4.226524378585403419e+00, 2.258989653496869643e+00
1.884000000000000000e+03, 3.765251806792459632e+00, 4.730746791292969711e+00, 3.463038259118828233e+00, 2.885872027559404973e+00, 3.435543233409765751e+00, 4.056152169229893190e+00, 1.872672329951138304e+00, 4.043841314014910537e+00, 3.920947571899642270e+00, 3.617699421398789639e+00, 5.580718396749266397e+00, 4.823967385599103430e+00, 4.093728220015735886e+00, 2.071746587629462955e+00
1.885000000000000000e+03, 3.868590706018755654e+00, 4.726020352849864103e+00, 3.461279374216882143e+00, 2.043527052230668772e+00, 3.340497845874603300e+00, 3.781264915342428257e+00, 1.854337777377622620e+00, 4.986747293964175043e+00, 3.983470859426501143e+00, 3.624152115896861037e+00, 5.514190521800380829e+00, 4.641181950557220048e+00, 4.063066507720181519e+00, 2.208204841831896914e+00
1.886000000000000000e+03, 4.298179415916544066e+00, 4.506923736172892880e+00, 3.565118793071608838e+00, 1.809716106170592642e+00, 3.338901245299142229e+00, 4.000247874490058919e+00, 1.847973510949519005e+00, 4.619680710185861017e+00, 3.898813186869174441e+00, 3.594952972888806109e+00, 5.443042445110819472e+00, 4.590567351630430615e+00, 3.975026106721923469e+00, 2.212607614530122113e+00
1.887000000000000000e+03, 4.028937637261626570e+00, 4.906239544850111933e+00, 3.449746097666333888e+00, 2.747796576988880801e+00, 3.251577063339484042e+00, 3.732814871266188828e+00, 1.895742045145516919e+00, 4.505321436254404510e+00, 3.950469768391972725e+00, 3.471541000995209458e+00, 5.431158858069242257e+00, 4.593915699636041516e+00, 4.115162876226438726e+00, 2.225651460522284797e+00
1.888000000000000000e+03, 4.002646312867383926e+00, 4.733355132432240708e+00, 3.419187370173764950e+00, 2.418245152735893466e+00, 3.168225686787344841e+00, 3.835618323629669035e+00, 1.846242028891593057e+00, 4.699127571208141063e+00, 3.910970470245737296e+00, 3.625527720476232396e+00, 5.553556051816364914e+00, 4.628348441451678674e+00, 4.095929430361248791e+00, 2.176632792893158364e+00
1.889000000000000000e+03, 3.999900394437527762e+00, 4.703222932230624487e+00, 3.354367389836697022e+00, 2.720526443411390716e+00, 3.522184191238113105e+00, 3.801028208186465918e+00, 1.841036180695538871e+00, 4.564150671203182519e+00, 3.986584326357438979e+00, 3.661941074943368957e+00, 5.699289148858214915e+00, 4.804224715507230847e+00, 4.071363085146888494e+00, 2.094361219619390369e+00
