year, IPSL-CM6A-LR, UKESM1-0-LL, ACCESS-ESM1-5, TaiESM1, NorESM2-MM, GFDL-ESM4, NorESM2-LM, CESM2-WACCM, INM-CM4-8, MIROC-ES2L, CNRM-ESM2-1, MPI-ESM1-2-LR, EC-Earth3-Veg, INM-CM5-0, CanESM5, CMCC-CM2-SR5
1.961000000000000000e+03, 2.652177904813981080e+00, 4.479155185445782728e+00, 4.093522740865357612e+00, 2.240352967546099805e+00, 3.784690764734016888e+00, 4.509402603989201452e+00, 3.637795536362528726e+00, 3.808476581702526342e+00, 4.413612085890614267e+00, 6.233649648312087344e+00, 5.057810570159863239e+00, 4.838757426749478618e+00, 3.078126748486680775e+00, 4.468019933972333213e+00, 5.209310352617223749e+00, 4.378004369520988703e+00
1.962000000000000000e+03, 2.877525747884102092e+00, 4.573831242224709825e+00, 3.970192467922493584e+00, 2.260890514617984071e+00, 3.944127413316325548e+00, 4.334280298235857920e+00, 3.450131114586402870e+00, 4.168271670803663120e+00, 4.307559974758790489e+00, 5.795601556344897709e+00, 4.934377369200174890e+00, 5.013402229725863357e+00, 2.841691866161980329e+00, 4.682822653664191925e+00, 4.924247548595076296e+00, 4.675989332157469924e+00
1.963000000000000000e+03, 2.796557117860585251e+00, 4.426024034728773593e+00, 4.184766045055838823e+00, 2.277892684208506324e+00, 3.818598737439256485e+00, 4.426696480236800291e+00, 3.696016177189243912e+00, 3.955707656233145464e+00, 4.072550668289663278e+00, 5.980839364148303083e+00, 5.007788461341819541e+00, 5.306194432510281445e+00, 3.072380833192987382e+00, 4.670782322179057644e+00, 4.974132354736954476e+00, 4.333353159180744818e+00
1.964000000000000000e+03, 2.760646486305523339e+00, 4.241976608195243692e+00, 4.316813233394056759e+00, 2.250651927057076396e+00, 3.787598475532666153e+00, 4.582210368137464407e+00, 3.508704156491954329e+00, 4.033561773524464655e+00, 4.665172424843295751e+00, 5.963885750454426038e+00, 5.322400650569021785e+00, 4.857368167176336904e+00, 2.820242842453733356e+00, 4.768657524901381173e+00, 4.570254659619905624e+00, 4.506467503958305088e+00
1.965000000000000000e+03, 2.890874582023454931e+00, 4.465098701013193505e+00, 4.182381681171433385e+00, 2.191482469441106584e+00, 3.741605777994287063e+00, 4.451720062959671154e+00, 3.540248733401252235e+00, 3.524411998196976814e+00, 4.256263369588133116e+00, 5.878336600375483556e+00, 4.939112857398765044e+00, 4.853489481413177487e+00, 3.001907239193684074e+00, 4.363043423959085843e+00, 4.629035043531267490e+00, 4.553470195715707547e+00
1.966000000000000000e+03, 2.879826756465591941e+00, 4.523040075063586407e+00, 4.108974430927039734e+00, 2.276313160454431106e+00, 3.604177969189271469e+00, 4.395826158869653888e+00, 3.611583620421300100e+00, 4.158370986176021411e+00, 4.262654998474621593e+00, 5.743402701153844880e+00, 4.815057104111745367e+00, 5.019514603430674349e+00, 2.946115367540463659e+00, 4.330280903146975113e+00, 4.868870830361788471e+00, 4.626820373207659820e+00
1.967000000000000000e+03, 2.935996648895635275e+00, 4.355174928633902987e+00, 4.198081967900646028e+00, 2.274316157673689887e+00, 3.315839123139778355e+00, 3.978707688465554337e+00, 2.672650260396469690e+00, 4.006256070053217933e+00, 4.339848446753996392e+00, 6.388422927888021796e+00, 4.953341970907695568e+00, 5.111292731814559787e+00, 2.674807520569601582e+00, 4.658149897038681431e+00, 4.890315447283271943e+00, 4.291526792826392267e+00
1.968000000000000000e+03, 2.897860885562700162e+00, 4.332143251559744890e+00, 4.139296822116096841e+00, 2.217896555077969012e+00, 3.660352066625256917e+00, 4.493544646214579608e+00, 3.452797855348978651e+00, 3.842997811665841645e+00, 4.114881221361707198e+00, 6.037316232905657110e+00, 5.315697422169892938e+00, 4.940823882199101291e+00, 2.904797115722292933e+00, 4.424345485690617252e+00, 5.149442012428476545e+00, 4.597996694726942835e+00
1.969000000000000000e+03, 3.072652874140638701e+00, 4.131582971893904777e+00, 4.041649934341530859e+00, 2.375639885433356469e+00, 3.751138330252855813e+00, 4.393111195977047245e+00, 3.707404327969298752e+00, 3.995476467868184223e+00, 4.390269940849888641e+00, 5.880675496588930962e+00, 4.787732963963395427e+00, 4.738919664006107091e+00, 2.996301288395987417e+00, 4.338828106216368496e+00, 5.438799568379115712e+00, 4.535938886611051934e+00
1.970000000000000000e+03, 2.860793941566082133e+00, 3.940350290099748687e+00, 4.132396510617368790e+00, 2.200320472622221857e+00, 3.385536877857922899e+00, 4.095088947746426733e+00, 3.835947223136522588e+00, 4.027345002712805488e+00, 4.299330628711526714e+00, 5.932690209367192047e+00, 5.012373494719272848e+00, 4.954099653020055172e+00, 3.147039570716947843e+00, 4.386020278148404117e+00, 4.960628434761370720e+00, 4.010105495627609429e+00
