year, EC-Earth3-Veg, TaiESM1, UKESM1-0-LL, IPSL-CM6A-LR, CMCC-ESM2, MPI-ESM1-2-LR, NorESM2-MM, CESM2-WACCM, NorESM2-LM, CNRM-ESM2-1
1.914000000000000000e+03, 4.070853823159954371e-11, 7.398139118729092681e-11, 6.184665612418203259e-12, 1.061708032782423697e-11, 1.086616597365975604e-10, 1.726161257913802096e-11, 1.543102438491728372e-10, 1.341214086519823724e-10, 1.927187056694697915e-10, 6.901957026594498578e-11
1.915000000000000000e+03, 3.957912720206804927e-11, 7.269230203653440347e-11, 5.371988025028055968e-12, 9.414068534893823346e-12, 1.069543924934211115e-10, 1.542351856069958170e-11, 1.528209030985960061e-10, 1.305680927771016814e-10, 1.883860075177954797e-10, 6.044655326680632067e-11
1.916000000000000000e+03, 3.865978112255467410e-11, 7.139329142539242070e-11, 4.797603797183489846e-12, 8.210087326325911833e-12, 1.073623851885773968e-10, 1.399776620921414242e-11, 1.521116305262110010e-10, 1.276985607123728855e-10, 1.825661624147064997e-10, 5.176596607004322798e-11
1.917000000000000000e+03, 3.754155949753381184e-11, 7.004644805847736329e-11, 4.336095921452222093e-12, 6.998777402519867912e-12, 1.065045227233501170e-10, 1.270079655390403863e-11, 1.519522465530496943e-10, 1.247753358444155504e-10, 1.771596336856311657e-10, 4.303825172678482200e-11
1.918000000000000000e+03, 3.675534943341432410e-11, 6.911184016786087008e-11, 3.918048957021500063e-12, 5.780532592836976670e-12, 1.039668042047351058e-10, 1.163594464620245708e-11, 1.493399736367434491e-10, 1.223888293089524688e-10, 1.717976892465833882e-10, 3.453754625271738671e-11
1.919000000000000000e+03, 3.575252385784877495e-11, 6.774337835707104717e-11, 3.555624651949902607e-12, 4.552543201788319385e-12, 1.003174859651994439e-10, 1.068179095744002635e-11, 1.416339247368428186e-10, 1.194176647675882030e-10, 1.724432497440345719e-10, 2.631969910944668059e-11
1.920000000000000000e+03, 3.530810406722548826e-11, 7.258370058110599941e-11, 3.229083997411035852e-12, 3.324312509322079357e-12, 9.993397575788396850e-11, 2.418516129610038085e-11, 1.389338943506097738e-10, 1.169623731145974169e-10, 1.766918517055537346e-10, 1.839035861883672897e-11
1.921000000000000000e+03, 8.489394877996030433e-11, 7.266922995980639025e-11, 2.931450602402119511e-12, 1.052273461386160166e-11, 1.003417346464492794e-10, 3.338290606640694097e-11, 1.531385670179651033e-10, 1.372220228183790842e-10, 1.925353612282066383e-10, 6.511208353742777658e-11
1.922000000000000000e+03, 9.074070703338636911e-11, 7.264393167937278972e-11, 2.667795222785797516e-12, 1.110553492798523289e-11, 1.008583784386077073e-10, 3.555361501823072674e-11, 1.597662250680480323e-10, 1.377724465059641853e-10, 1.892577623248474636e-10, 6.776651719544225574e-11
1.923000000000000000e+03, 9.508468378252971815e-11, 7.260126872572549693e-11, 2.432930643118815938e-12, 1.163165460255207176e-11, 1.005034784498145808e-10, 3.731111858091367115e-11, 1.540592666324181572e-10, 1.370744055636574143e-10, 1.784918415055700684e-10, 7.050582125574683133e-11
1.924000000000000000e+03, 9.795374250521664728e-11, 7.275374101128243530e-11, 2.220742036003311649e-12, 1.210951645261348144e-11, 9.975570899858951274e-11, 3.841715962154911804e-11, 1.476577490816550017e-10, 1.379888971315152386e-10, 1.806702169363694648e-10, 7.365020915871226544e-11
1.925000000000000000e+03, 1.006198889736982975e-10, 7.292116965438178267e-11, 2.029720642409417428e-12, 1.259907008531106079e-11, 9.985600868752402699e-11, 3.918601732870413088e-11, 1.462380083527829065e-10, 1.385938907843443856e-10, 2.075466912767500819e-10, 7.628058919976343740e-11
1.926000000000000000e+03, 4.204901869352424062e-11, 7.305249099132187293e-11, 1.856015585652906378e-12, 1.309188655961067741e-11, 1.006985472900094517e-10, 3.987581758331168754e-11, 1.620862112213398798e-10, 1.396831772013022292e-10, 2.015999668870011256e-10, 7.823176649462617549e-11
1.927000000000000000e+03, 4.285314420539417251e-11, 7.333146662580474618e-11, 1.699584863079592989e-12, 1.356739568286548238e-11, 1.010782368819466942e-10, 4.067282352019532219e-11, 1.619882350780843732e-10, 1.400519934671808863e-10, 1.881938864497157450e-10, 8.088089344568569075e-11
1.928000000000000000e+03, 4.265641473253231503e-11, 7.352475991258013087e-11, 1.557077968794590714e-12, 1.407836399155658670e-11, 1.009105567677136950e-10, 4.134587360222005650e-11, 1.617061116140739813e-10, 1.409707446068816538e-10, 1.859250466597901412e-10, 8.313942325486280563e-11
1.929000000000000000e+03, 4.263391921540432575e-11, 7.387698486670914257e-11, 1.429254729372180757e-12, 1.461436344532616651e-11, 1.007815778179922248e-10, 4.183448929664380776e-11, 1.665797482104567115e-10, 1.407228183661247097e-10, 1.989871004339549846e-10, 8.577556958102140226e-11
1.930000000000000000e+03, 4.244928267896896745e-11, 1.122857745074841697e-10, 1.352064792753160057e-12, 1.514510003530486600e-11, 1.419079492678912588e-10, 6.422685511880099261e-11, 1.681589497144445788e-10, 1.415441196306419977e-10, 1.994608925729968765e-10, 8.872490102464704541e-11
1.931000000000000000e+03, 5.455606206417955919e-11, 1.151463068215954741e-10, 1.301164637089192676e-12, 2.998547791672793295e-11, 1.444716366153360976e-10, 8.055301122685580373e-11, 2.307825295564549797e-10, 2.144125621982895959e-10, 2.726920342902614399e-10, 1.942108247839284027e-10
1.932000000000000000e+03, 5.792857697895157487e-11, 1.185465897787204778e-10, 1.230472497923482359e-12, 3.097707178996042694e-11, 1.485229889961442863e-10, 8.562187242383294019e-11, 2.347009175636906107e-10, 2.215207931389274527e-10, 2.754704504309876927e-10, 2.012879047736564843e-10
1.933000000000000000e+03, 6.252815593347534151e-11, 1.208852948477235070e-10, 1.140716437726004659e-12, 3.182370784970961385e-11, 1.521715926461230979e-10, 8.889266122914013924e-11, 2.320194744288962081e-10, 2.256527716554789016e-10, 2.791396492559533363e-10, 2.083233396665708880e-10
1.934000000000000000e+03, 6.928767837294153089e-11, 1.225731764009470779e-10, 1.840539202902557881e-12, 3.271241686203738458e-11, 1.542230659803738322e-10, 9.220607821535118152e-11, 2.378825748114254162e-10, 2.305999957666749494e-10, 2.909504945335667553e-10, 2.157635571269290473e-10
1.935000000000000000e+03, 7.865221871648066809e-11, 1.246220731039263320e-10, 4.088306387476719298e-12, 3.348893910526886622e-11, 1.559888406220911042e-10, 9.559553600013782223e-11, 2.500365906008581608e-10, 2.349370626761312698e-10, 3.015993445243374410e-10, 2.211389820491268693e-10
1.936000000000000000e+03, 1.547026743641909754e-10, 1.265781328111752864e-10, 9.346142522971084933e-12, 3.423320986277698476e-11, 1.586429579305604325e-10, 9.735510963513371591e-11, 2.407890708739967564e-10, 2.399915016579397924e-10, 3.017233826267215791e-10, 2.249121366792736563e-10
1.937000000000000000e+03, 1.931469271796591215e-10, 1.282907543353233422e-10, 1.607874142123452261e-11, 3.502786735829912161e-11, 1.609118000312809676e-10, 9.926089747395151971e-11, 2.450431612200112992e-10, 2.437418392014072201e-10, 3.011977084799371702e-10, 2.290134058987499210e-10
1.938000000000000000e+03, 2.113342361162717620e-10, 1.305218049958720912e-10, 2.225903352368463372e-11, 3.583025727228691351e-11, 1.619987643195598976e-10, 1.016237147008243849e-10, 2.507553539722334743e-10, 2.477228516903445406e-10, 3.206924108489404660e-10, 2.351183505603158640e-10
1.939000000000000000e+03, 2.283220050593096581e-10, 1.323705596490308504e-10, 2.859891314048105225e-11, 3.655947154854943015e-11, 1.625160783609943332e-10, 1.025167566267118014e-10, 2.482168345918479526e-10, 2.476676697180184155e-10, 3.244591860583051877e-10, 2.385533001083140131e-10
1.940000000000000000e+03, 2.399659715984883150e-10, 9.432672492492744175e-11, 2.197684320014138782e-11, 3.746348796525284655e-11, 1.351866669898994743e-10, 6.300748848251194630e-11, 2.597117067902865122e-10, 2.500954745421636473e-10, 3.194887612634857717e-10, 2.419657168225994032e-10
1.941000000000000000e+03, 4.410468994974735724e-11, 9.152401767636768284e-11, 1.071435633320926786e-11, 1.452771391048638585e-11, 1.329459418248975616e-10, 3.610097508335938216e-11, 2.045308746991944113e-10, 1.639649211269440084e-10, 2.383594134770112085e-10, 9.093348409462218332e-11
