year, MPI-ESM1-2-LR, INM-CM5-0, EC-Earth3-Veg, CanESM5, CESM2-WACCM, INM-CM4-8, UKESM1-0-LL, NorESM2-MM, TaiESM1, MIROC-ES2L, CNRM-ESM2-1, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-LM, GFDL-ESM4, IPSL-CM6A-LR
1.887000000000000000e+03, 1.707116957797627288e+00, 1.596948225933243259e+00, 1.353273259238521264e+00, 1.524171988964426960e+00, 1.373779386873025476e+00, 1.520662144374742120e+00, 1.515618708301091466e+00, 1.368796818782276770e+00, 1.360753493296738892e+00, 1.732972647950356659e+00, 1.545888680380399505e+00, 1.467988391248851165e+00, 1.849249103181428211e+00, 1.487098549506663092e+00, 1.649872259009344866e+00, 1.562706371908291203e+00
1.888000000000000000e+03, 1.685700129415527382e+00, 1.694936249202377621e+00, 1.358877249872158854e+00, 1.458984891647769455e+00, 1.369191682204560667e+00, 1.589279741912598798e+00, 1.515954422042697036e+00, 1.326204247209393783e+00, 1.407456498725193850e+00, 1.681194993475880750e+00, 1.569051692449931146e+00, 1.499107763527952164e+00, 1.878898075543790291e+00, 1.446208157917310499e+00, 1.690320107626272828e+00, 1.601329309601118300e+00
1.889000000000000000e+03, 1.779637882006107619e+00, 1.518659898955851517e+00, 1.280175262742111464e+00, 1.539706076515178212e+00, 1.374910079268067742e+00, 1.656589664969240205e+00, 1.584199810697601851e+00, 1.385323986812480701e+00, 1.358876577976059208e+00, 1.804817115510394032e+00, 1.536448141663403044e+00, 1.343092313002582694e+00, 1.800343180842639779e+00, 1.469141844563132127e+00, 1.689937396667042568e+00, 1.542345415352676774e+00
1.890000000000000000e+03, 1.621634278694189524e+00, 1.556426861631536429e+00, 1.331318961808243495e+00, 1.525720656442112411e+00, 1.422171000406065255e+00, 1.627408430387163873e+00, 1.522097826188409719e+00, 1.446986743170480594e+00, 1.254325324630680694e+00, 1.696678659589780924e+00, 1.557977991001986862e+00, 1.461070244400937579e+00, 1.822316366602714455e+00, 1.512899342671933933e+00, 1.695872550891001529e+00, 1.608911277490555625e+00
1.891000000000000000e+03, 1.718665925542805173e+00, 1.513755206454832525e+00, 1.323875938020754983e+00, 1.527853781724765048e+00, 1.423147543087399214e+00, 1.567251218779170507e+00, 1.614638525974885219e+00, 1.334509273163244414e+00, 1.373111577623211677e+00, 1.633724328469053022e+00, 1.419167142267783843e+00, 1.415093390713414223e+00, 1.867136994197170274e+00, 1.512244265837576984e+00, 1.672317155061253446e+00, 1.555699131792347645e+00
1.892000000000000000e+03, 1.778438432999419838e+00, 1.603634673926831455e+00, 1.364981952889818384e+00, 1.472057530380358470e+00, 1.445551895417661825e+00, 1.567189523425611020e+00, 1.567789002919812491e+00, 1.325809435236910527e+00, 1.394671823084957740e+00, 1.635257211824654000e+00, 1.523665710765220060e+00, 1.443307582054056182e+00, 1.833653421346185919e+00, 1.450691665082977311e+00, 1.723327740501210181e+00, 1.632590741013451918e+00
1.893000000000000000e+03, 1.721861254230795168e+00, 1.608907650898822705e+00, 1.311480752915374692e+00, 1.445310332251449559e+00, 1.489366198668043317e+00, 1.565005772379454818e+00, 1.581159441296342338e+00, 1.322623041925699905e+00, 1.378420836304744101e+00, 1.682275572324183122e+00, 1.497314079800894593e+00, 1.468301137966807168e+00, 1.837068716378556843e+00, 1.523784128774722468e+00, 1.614242982162533924e+00, 1.663662600734554076e+00
1.894000000000000000e+03, 1.649324949624612735e+00, 1.572580317965424523e+00, 1.376252860379597154e+00, 1.490451092094990049e+00, 1.435364415558897377e+00, 1.558742023575483415e+00, 1.535364411311637589e+00, 1.424296575446377444e+00, 1.397253394103864732e+00, 1.670901176197026050e+00, 1.607986859698736781e+00, 1.455222795440211714e+00, 1.874678509745374200e+00, 1.498779610470636570e+00, 1.691035753413054898e+00, 1.619872608058329222e+00
1.895000000000000000e+03, 1.860611526676189342e+00, 1.541729470388257583e+00, 1.408630221655486903e+00, 1.469204766264003093e+00, 1.413313450679090311e+00, 1.554359843916960582e+00, 1.668043849646262178e+00, 1.417530850262926467e+00, 1.320478315371208744e+00, 1.703432864389261558e+00, 1.544170620357468993e+00, 1.443915496498856310e+00, 1.927742012254961557e+00, 1.480046756239093542e+00, 1.762156636279097910e+00, 1.577765765768480044e+00
1.896000000000000000e+03, 1.677083538631080728e+00, 1.674316800062879196e+00, 1.361990181292474178e+00, 1.487258456621954883e+00, 1.501073312773523183e+00, 1.602113597316024984e+00, 1.565639744078205498e+00, 1.422479613708697022e+00, 1.359225123065268326e+00, 1.652929209700103597e+00, 1.533607262392007620e+00, 1.475838780283872165e+00, 1.893482800221743645e+00, 1.559010995411516998e+00, 1.667648668635575593e+00, 1.649606800009395080e+00
1.897000000000000000e+03, 1.725136070016839218e+00, 1.637275808938451815e+00, 1.314431580725178739e+00, 1.414443126003634754e+00, 1.517375467604260342e+00, 1.563028044897466717e+00, 1.552950158696457583e+00, 1.336024779405223351e+00, 1.415132605602588800e+00, 1.724720900625867248e+00, 1.513043579636443425e+00, 1.467695265314371333e+00, 1.879051646057559033e+00, 1.566506736466739547e+00, 1.674819010297072586e+00, 1.652052794413718217e+00
1.898000000000000000e+03, 1.715485383086265969e+00, 1.636016031519079705e+00, 1.354199540671654489e+00, 1.444284069881299759e+00, 1.443475340485259828e+00, 1.637713207528763038e+00, 1.548848456874616364e+00, 1.385071339701948068e+00, 1.332861392657228361e+00, 1.639691478450532758e+00, 1.621097215831152072e+00, 1.459579892774709231e+00, 1.951533896962097447e+00, 1.436600676908080354e+00, 1.706568758223097060e+00, 1.603248686962117642e+00
1.899000000000000000e+03, 1.830209003477028418e+00, 1.583231873618057506e+00, 1.347911489833231835e+00, 1.465027484059097329e+00, 1.413633296735961276e+00, 1.623055021769648443e+00, 1.570866497344169055e+00, 1.341557384039110845e+00, 1.332845093103051548e+00, 1.737205490923475759e+00, 1.574331910982728733e+00, 1.608107166941625366e+00, 1.870628506820440684e+00, 1.615641927866068750e+00, 1.757715035192032094e+00, 1.638646891714685028e+00
1.900000000000000000e+03, 1.710024704690596753e+00, 1.620945738593105645e+00, 1.397145563719932371e+00, 1.352266822218491260e+00, 1.447387407359629785e+00, 1.614227293852990464e+00, 1.535399355518036080e+00, 1.274832006961221786e+00, 1.337720299650885902e+00, 1.700900747509668909e+00, 1.540779450713448684e+00, 1.475165830199085315e+00, 1.853206488101018623e+00, 1.539251917014124782e+00, 1.694077563990745716e+00, 1.576020589340150435e+00
1.901000000000000000e+03, 1.809592660763657213e+00, 1.636600991588927689e+00, 1.434280743712055717e+00, 1.496815890312835462e+00, 1.410761229123969729e+00, 1.491237447249043946e+00, 1.505890056325322135e+00, 1.455296637224315681e+00, 1.332186210962946316e+00, 1.704669518779379223e+00, 1.496904212439142734e+00, 1.361251799186312894e+00, 1.878101747503682972e+00, 1.494367176155576349e+00, 1.706399579678179235e+00, 1.626183025352780032e+00
1.902000000000000000e+03, 1.721103427372896233e+00, 1.663857436698621628e+00, 1.360500138481688825e+00, 1.473195352803828406e+00, 1.407904401471580247e+00, 1.606493852381029486e+00, 1.601576701575512907e+00, 1.371563703595739758e+00, 1.408394044623530350e+00, 1.711503828523868398e+00, 1.546217440574283009e+00, 1.472891807355092952e+00, 1.941932568607867893e+00, 1.502825782015003497e+00, 1.745319883443938291e+00, 1.612836117139617942e+00
1.903000000000000000e+03, 1.552820886671787637e+00, 1.606963991315423890e+00, 1.306522363260268937e+00, 1.383532716952561303e+00, 1.425667771784287607e+00, 1.544174389636895350e+00, 1.467462914608239410e+00, 1.384153959400294731e+00, 1.347403501643566148e+00, 1.651515080784698331e+00, 1.429468892091349197e+00, 1.469887884567623981e+00, 1.952963499222375221e+00, 1.434946494619337765e+00, 1.625788982822955697e+00, 1.637600098377409719e+00
1.904000000000000000e+03, 1.733477192080118856e+00, 1.532121263153809698e+00, 1.310605041015893590e+00, 1.450104167281102585e+00, 1.350087385700340370e+00, 1.547420731162718610e+00, 1.518353428756304080e+00, 1.324323407967844313e+00, 1.276876568802949974e+00, 1.646792255070379074e+00, 1.509188068506271074e+00, 1.440001500242966914e+00, 1.822875482367446232e+00, 1.536389255702833800e+00, 1.620005395543369309e+00, 1.541936969988425998e+00
1.905000000000000000e+03, 1.829543844719417223e+00, 1.524838706134813426e+00, 1.316059090529934972e+00, 1.493133575938859980e+00, 1.504229892684892933e+00, 1.682130569102478157e+00, 1.558800802508327754e+00, 1.424825694185752889e+00, 1.359202137838880997e+00, 1.678746337911910746e+00, 1.603463351915793700e+00, 1.446953591287935659e+00, 1.853686760080094587e+00, 1.496274481912064136e+00, 1.697553253735799128e+00, 1.571337565393152724e+00
1.906000000000000000e+03, 1.864164640559662578e+00, 1.641989433874833537e+00, 1.407303599876070788e+00, 1.489770625915102675e+00, 1.382445062997164520e+00, 1.579329606048311740e+00, 1.466798694797782243e+00, 1.297919581778003817e+00, 1.376457191972351390e+00, 1.651883137410186331e+00, 1.552076307158797963e+00, 1.462848826461177643e+00, 1.838150648323582104e+00, 1.440600773306978333e+00, 1.579869254026535108e+00, 1.616624516836543402e+00
1.907000000000000000e+03, 1.799464801032625738e+00, 1.603984406688081732e+00, 1.356991045261737749e+00, 1.427339608473197741e+00, 1.424462432275644730e+00, 1.644855454339582357e+00, 1.562111022420217488e+00, 1.373415624219636033e+00, 1.288691828337376721e+00, 1.697491516210785756e+00, 1.653979523494157222e+00, 1.448991889189009008e+00, 1.921080671731732359e+00, 1.555999443849595432e+00, 1.786757854284048541e+00, 1.582547050086156482e+00
1.908000000000000000e+03, 1.783159258017357418e+00, 1.653527177343516952e+00, 1.386471706653728431e+00, 1.396247693994730810e+00, 1.383167167869031822e+00, 1.577859422809518852e+00, 1.581883473588012512e+00, 1.358594912694061296e+00, 1.356030176411842536e+00, 1.575993573960752014e+00, 1.521866857668553452e+00, 1.427813942253914226e+00, 1.867499555558520985e+00, 1.567401104121147970e+00, 1.796656795843369236e+00, 1.566605062496093881e+00
1.909000000000000000e+03, 1.639159114873768974e+00, 1.655506567609573265e+00, 1.288144192226765572e+00, 1.519630173320614785e+00, 1.395526991577340281e+00, 1.643007369040754284e+00, 1.486162436541251797e+00, 1.336925471524104569e+00, 1.277920492518082041e+00, 1.694852660359916774e+00, 1.581328353369799711e+00, 1.458785592592464875e+00, 1.889276870196880065e+00, 1.431269785910147085e+00, 1.749588125696032836e+00, 1.590540287755405569e+00
