year, TaiESM1, CMCC-CM2-SR5, MPI-ESM1-2-LR, GFDL-ESM4, ACCESS-ESM1-5, IPSL-CM6A-LR, MIROC-ES2L, NorESM2-LM, NorESM2-MM, UKESM1-0-LL, CNRM-ESM2-1, CanESM5, INM-CM4-8, EC-Earth3-Veg, INM-CM5-0, CESM2-WACCM
1.885000000000000000e+03, 2.562461647769538331e+01, 3.515325403423871364e+01, 3.088088964287839744e+01, 6.422933665881346599e+01, 7.294637783947551668e+01, 1.185755703974801456e+01, 4.178579738610820726e+01, 5.114367099235747816e+01, 5.083434194723646016e+01, 3.978371854513779482e+01, 5.316732469815431728e+01, 4.736719430205184977e+01, 5.315303157652530075e+01, 1.923029116553922790e+01, 5.283069661809120987e+01, 5.750549133107218580e+01
1.886000000000000000e+03, 2.564213259748577300e+01, 3.519495375365341516e+01, 3.082670589741278278e+01, 6.416088827521890892e+01, 7.302457569514378122e+01, 1.179588172932774981e+01, 4.158527161535581484e+01, 5.109366283389253738e+01, 5.083872516059855684e+01, 3.970485238716673848e+01, 5.301212367986815366e+01, 4.717445145916681781e+01, 5.308351821536378878e+01, 1.919329127701503879e+01, 5.284896429803485773e+01, 5.746931845114534809e+01
1.887000000000000000e+03, 2.557706348273040575e+01, 3.513991866970067690e+01, 3.070196666142015829e+01, 6.413489745295082400e+01, 7.302507012666690400e+01, 1.180448503034368279e+01, 4.116572430655254777e+01, 5.105072561517778240e+01, 5.077531787701688870e+01, 3.966559040656550650e+01, 5.300972411824447761e+01, 4.714099113985407286e+01, 5.294758972998779001e+01, 1.895487132776026229e+01, 5.277746410339542393e+01, 5.728799980159152483e+01
1.888000000000000000e+03, 2.554757572800687981e+01, 3.494874096377802886e+01, 3.079023460269413093e+01, 6.394337101532933332e+01, 7.295504663127410083e+01, 1.177798218214016401e+01, 4.094866767436665356e+01, 5.079807830700396920e+01, 5.046121996481526395e+01, 3.957510826157213302e+01, 5.300478599182212491e+01, 4.726427050641115812e+01, 5.286833917343222566e+01, 1.878674450696777853e+01, 5.276033026918950952e+01, 5.702522726326835567e+01
1.889000000000000000e+03, 2.546466724423338235e+01, 3.475153099795490164e+01, 3.061262999505176197e+01, 6.375293047122273293e+01, 7.288424683483071931e+01, 1.173533009360990675e+01, 4.097997217272419590e+01, 5.055900268783661744e+01, 5.019669783210671454e+01, 3.960775985845710068e+01, 5.292437930566551785e+01, 4.725042164012650403e+01, 5.283386340759797406e+01, 1.861196845429913793e+01, 5.274114771084490627e+01, 5.688556864938019686e+01
1.890000000000000000e+03, 2.527583613615152558e+01, 3.473397866619730223e+01, 3.049000419669638973e+01, 6.362966075802683008e+01, 7.281290225563810736e+01, 1.174496395135564697e+01, 4.087368842687706660e+01, 5.049364567890770417e+01, 5.007132402979060970e+01, 3.966653862671639530e+01, 5.287252919824759800e+01, 4.722247498136539434e+01, 5.286723792814178324e+01, 1.855555873013230439e+01, 5.263481111716240690e+01, 5.676991832593472509e+01
1.891000000000000000e+03, 2.511744367158180324e+01, 3.482568949692979743e+01, 3.043717608990207069e+01, 6.351278823458343936e+01, 7.276237439044169264e+01, 1.169849115230830883e+01, 4.068338297950091231e+01, 5.039222871294374784e+01, 4.973871088183511802e+01, 3.960111477420955595e+01, 5.269504412925498116e+01, 4.715211858672257250e+01, 5.280974344229289130e+01, 1.855692540919000777e+01, 5.269967405704914398e+01, 5.659901047822188502e+01
1.892000000000000000e+03, 2.509423229802702693e+01, 3.475439108699326596e+01, 3.027047455292122891e+01, 6.346704232062928952e+01, 7.274791427792025900e+01, 1.172238615806841011e+01, 4.065550670633270869e+01, 5.027276081758492410e+01, 4.944209946939672307e+01, 3.962845611795751211e+01, 5.260595368795293325e+01, 4.711103394938061939e+01, 5.263643993812178223e+01, 1.860314122314236940e+01, 5.262862770174136529e+01, 5.642814348062239560e+01
1.893000000000000000e+03, 2.519070919702596356e+01, 3.449421085229219130e+01, 3.035187169332708024e+01, 6.332361867060123473e+01, 7.267969241417731041e+01, 1.178682986427789459e+01, 4.072478368689243666e+01, 5.033920528120379601e+01, 4.941807315912452481e+01, 3.964951800875942922e+01, 5.245738892825573174e+01, 4.710071531745789031e+01, 5.253969603381921161e+01, 1.851437364434662314e+01, 5.265279235430103455e+01, 5.629986290858463605e+01
1.894000000000000000e+03, 2.521715201579213073e+01, 3.449289583355027844e+01, 3.030389246443629858e+01, 6.327056009933075842e+01, 7.257269186104343817e+01, 1.175521002015304362e+01, 4.061859736830415102e+01, 5.048560867324062684e+01, 4.939979851737571437e+01, 3.960450701288325348e+01, 5.257067302032302791e+01, 4.705248506778714557e+01, 5.243901912942808963e+01, 1.851256627344311312e+01, 5.274112436539553528e+01, 5.628129260516705301e+01
1.895000000000000000e+03, 2.504482420977889134e+01, 3.491920474168441046e+01, 3.027997328229772478e+01, 6.314513494324692999e+01, 7.248131761368487957e+01, 1.173368526177091020e+01, 4.061735629424225635e+01, 5.049409715946599420e+01, 4.932082685147860701e+01, 3.955677645320669455e+01, 5.254930024537947730e+01, 4.696617457611441893e+01, 5.235197878276326122e+01, 1.850894167224675613e+01, 5.273178913187243921e+01, 5.627983579511190015e+01
