year, NorESM2-LM, EC-Earth3-Veg, TaiESM1, IPSL-CM6A-LR, CESM2-WACCM, NorESM2-MM, UKESM1-0-LL, MPI-ESM1-2-LR
1.942000000000000000e+03, 1.142413944668131761e-10, 3.085949062470013968e-10, 6.594972961058800364e-11, 4.074927079894196289e-10, 6.460814563821097448e-11, 1.184673232262149158e-10, 2.283099149646308109e-10, 4.031415509805410287e-10
1.943000000000000000e+03, 1.133564602951013060e-10, 3.091546800761022969e-10, 6.559367223717447577e-11, 4.640746443414129030e-10, 5.370479298678115008e-11, 1.176438243946025346e-10, 1.934231287439406121e-10, 4.080839831129429111e-10
1.944000000000000000e+03, 1.125884024864256570e-10, 3.139973212655374871e-10, 6.527290718696468933e-11, 5.489689335961282232e-10, 5.191937343168821680e-11, 1.166847525752771627e-10, 2.446198498074911688e-10, 4.049024628036359553e-10
1.945000000000000000e+03, 1.110974190221680260e-10, 2.654779101748326803e-10, 6.494901943875045387e-11, 4.840534251934581627e-10, 5.767655098003706949e-11, 1.154487170831601525e-10, 2.373275745610342728e-10, 4.117457470991354320e-10
1.946000000000000000e+03, 1.100770129864663403e-10, 3.130842266743429318e-10, 6.477007653073440155e-11, 5.105336042934846957e-10, 4.590574467221004229e-11, 1.146649619529083392e-10, 2.065210910842006187e-10, 4.050518227444289905e-10
1.947000000000000000e+03, 1.095272888339896083e-10, 3.143131507838314313e-10, 6.474104920585736833e-11, 4.795535032427883411e-10, 5.086853968237697025e-11, 1.141117466895017703e-10, 2.083557165881532816e-10, 4.010504480375937311e-10
1.948000000000000000e+03, 1.089190051903260626e-10, 2.718734967984650012e-10, 6.470934448459623777e-11, 4.035020388871147621e-10, 5.465112083229530321e-11, 1.136514242470706009e-10, 1.995327411258860394e-10, 3.937743197015669742e-10
1.949000000000000000e+03, 1.083721162809245365e-10, 3.120743132955534841e-10, 6.467356563626837831e-11, 4.035492375209853469e-10, 4.574610836904065837e-11, 1.130834966211230338e-10, 1.739861573290028004e-10, 3.859717091473827349e-10
1.950000000000000000e+03, 1.105605596268454139e-10, 2.732144093972291244e-10, 6.177194812524942370e-11, 3.782968960721843748e-10, 5.255795146570303100e-11, 1.166655387604637582e-10, 1.745591602932108627e-10, 3.692900257402463407e-10
1.951000000000000000e+03, 1.099707555488362482e-10, 2.613031834416374683e-10, 6.006520928255690909e-11, 4.305563671418624966e-10, 7.447067789398059002e-11, 1.140577026004262340e-10, 1.676664454796592484e-10, 3.671896817308006464e-10
1.952000000000000000e+03, 1.149044699010186832e-10, 2.566588036098259134e-10, 7.435703809893939461e-11, 4.911925480004643938e-10, 7.453907497094397340e-11, 1.218622764779671643e-10, 1.755517272266007254e-10, 3.802552326572580444e-10
1.953000000000000000e+03, 1.168740462169614635e-10, 2.604750224649405386e-10, 7.348014055382601393e-11, 4.716040883078196905e-10, 7.768952202455452113e-11, 1.230759071827036202e-10, 1.801615211624975057e-10, 3.970677670647383750e-10
1.954000000000000000e+03, 1.187677627952686901e-10, 2.820573776422615797e-10, 7.410990051664808962e-11, 4.334275622967593143e-10, 7.429416846909157753e-11, 1.249123003659939150e-10, 2.086833246365403256e-10, 3.961185253427413752e-10
1.955000000000000000e+03, 1.207578225800892796e-10, 2.842849074420449527e-10, 7.515304138793564653e-11, 4.265996091539730336e-10, 7.123116001224052175e-11, 1.269243785038010665e-10, 2.077320021188370272e-10, 3.955014882751275715e-10
1.956000000000000000e+03, 1.227573988980598403e-10, 2.942019136449128527e-10, 7.627209044287097807e-11, 4.772708222796608403e-10, 8.506112002429487797e-11, 1.288060459676991118e-10, 2.345422620020979617e-10, 4.004302992401392998e-10
1.957000000000000000e+03, 1.244452550868274444e-10, 2.933415627568220792e-10, 7.734300640642520778e-11, 4.497859785253796786e-10, 7.460175398025288278e-11, 1.303169190679927025e-10, 2.121140704316834236e-10, 4.136485863528436216e-10
1.958000000000000000e+03, 1.263784378832685794e-10, 3.265951743547629348e-10, 7.835095478898214955e-11, 4.581829860124392127e-10, 7.256751397916781890e-11, 1.323058424154613084e-10, 2.421357469952842538e-10, 4.260713370450574567e-10
1.959000000000000000e+03, 1.283481064273330658e-10, 3.162243013718061978e-10, 7.931155533416501325e-11, 5.154783653868671182e-10, 6.266643220243138477e-11, 1.343513587977126413e-10, 2.116152132856723412e-10, 4.291336868439037397e-10
