year, MIROC-ES2L, NorESM2-LM, EC-Earth3-Veg, CESM2-WACCM, INM-CM4-8, CanESM5, ACCESS-ESM1-5, IPSL-CM6A-LR, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-MM, CMCC-CM2-SR5, INM-CM5-0, TaiESM1, GFDL-ESM4, CNRM-ESM2-1
2.045000000000000000e+03, 1.081829350281686573e+02, 5.349784716016161923e+01, 5.787078939117600385e+01, 8.439151432671827990e+01, 1.394115370123402329e+02, 1.434978035411558324e+02, 1.041327333994439783e+02, 6.897936498777690417e+01, 9.461324098495286705e+01, 6.915409007244990391e+01, 5.540425469703647821e+01, 6.341495931019061771e+01, 1.433848917478279645e+02, 8.468092457045150923e+01, 4.105253463208232745e+01, 4.447565164027671614e+01
2.046000000000000000e+03, 1.080623295855273369e+02, 5.332528904112677282e+01, 5.767914272853551694e+01, 8.458583671898385603e+01, 1.402247262199826991e+02, 1.445353080408833080e+02, 1.043794483101199830e+02, 6.894806978343007131e+01, 9.426671418354223420e+01, 6.885751650824184367e+01, 5.516970986647434927e+01, 6.305230360753368757e+01, 1.442162364174492097e+02, 8.330325263038285755e+01, 4.093107212386849625e+01, 4.424127998847915677e+01
2.047000000000000000e+03, 1.078885820374250955e+02, 5.315951370370354567e+01, 5.745158873639290675e+01, 8.503449705975452844e+01, 1.411687119095228411e+02, 1.458475213997146795e+02, 1.040964454942620137e+02, 6.859604149602483858e+01, 9.408368353301713682e+01, 6.859254029469140335e+01, 5.469483035859121145e+01, 6.248392271974197598e+01, 1.447994111623562787e+02, 8.274663121104202901e+01, 4.063374312768517882e+01, 4.298492300624916851e+01
2.048000000000000000e+03, 1.084155221805694680e+02, 5.269794989396679341e+01, 5.720095692496180817e+01, 8.576748932163761197e+01, 1.417174212344004900e+02, 1.460946848939097436e+02, 1.039507612588200800e+02, 6.845631600784082593e+01, 9.399164120473139405e+01, 6.910330740297958130e+01, 5.438246082091529843e+01, 6.216525556541418496e+01, 1.457082741891218518e+02, 8.459534211442183960e+01, 4.042560862873557426e+01, 4.356093487306726786e+01
2.049000000000000000e+03, 1.090773075642772199e+02, 5.212516275324733783e+01, 5.718878648534857945e+01, 8.630840904110218048e+01, 1.432522156743948187e+02, 1.459868852141794093e+02, 1.031457247230447507e+02, 6.805286186294952699e+01, 9.380204350562694060e+01, 6.898152123652293710e+01, 5.359228642930278141e+01, 6.222876294136117536e+01, 1.466178025555324780e+02, 8.430708235627145086e+01, 4.045622592010619911e+01, 4.361986292518374597e+01
2.050000000000000000e+03, 1.089812262918906640e+02, 5.198194894611576444e+01, 5.656284281895090515e+01, 8.660344426144504837e+01, 1.437072848102730518e+02, 1.461898728783500871e+02, 1.027648394042602860e+02, 6.748251492684791231e+01, 9.349491363433921265e+01, 6.941651777726895034e+01, 5.329278322075223429e+01, 6.100290030323118629e+01, 1.467139519215119776e+02, 8.188898907197126675e+01, 4.027287291339831654e+01, 4.301418099320953559e+01
2.051000000000000000e+03, 1.087748166076034551e+02, 5.161252304382306733e+01, 5.595344435495808710e+01, 8.709085595009042891e+01, 1.444778182678927863e+02, 1.469301293927046288e+02, 1.027346290305027594e+02, 6.726473358677799297e+01, 9.326683655689116392e+01, 6.902927311429992585e+01, 5.277324669541301461e+01, 6.099499159455303499e+01, 1.469107058999915694e+02, 8.121991306008973766e+01, 3.989780553007282293e+01, 4.289178762622570673e+01
2.052000000000000000e+03, 1.089236679291517618e+02, 5.107331976304794097e+01, 5.538191261500523410e+01, 8.840749925741295101e+01, 1.446740394195272188e+02, 1.478236981062200641e+02, 1.024532714774816071e+02, 6.677673047021303887e+01, 9.296912953259095502e+01, 6.863485260907704344e+01, 5.203843328116882105e+01, 5.967695115760025004e+01, 1.483682599240911770e+02, 8.184761962667077739e+01, 3.967342894023506261e+01, 4.254136713621676336e+01
2.053000000000000000e+03, 1.092306206300912521e+02, 5.033682286974467246e+01, 5.460269047322314151e+01, 8.906144278104869727e+01, 1.453791643761545060e+02, 1.481158400535728958e+02, 1.013373470907207690e+02, 6.633983259980928437e+01, 9.252430192609605797e+01, 6.902209009762744074e+01, 5.134682828196600468e+01, 5.965654383666909411e+01, 1.489866910098012340e+02, 8.236681560648878531e+01, 3.923668997521404833e+01, 4.245298809416245689e+01
2.054000000000000000e+03, 1.096539031552298695e+02, 4.992113046612362837e+01, 5.392276274409906733e+01, 8.938969953379303490e+01, 1.464369160706432353e+02, 1.478868685589093275e+02, 1.008702306230621986e+02, 6.596638518005472918e+01, 9.197461387089815332e+01, 6.926184617732879190e+01, 5.099962143821903737e+01, 5.982156284913242672e+01, 1.499616601251026395e+02, 8.228832061758129157e+01, 3.901913153090418973e+01, 4.192781485004588404e+01
2.055000000000000000e+03, 1.096182128503962616e+02, 4.959828310998186396e+01, 5.363967732312089964e+01, 8.969652243800177871e+01, 1.476332946935781649e+02, 1.484970164396728194e+02, 1.004273483276370342e+02, 6.577493053094991637e+01, 9.108533365488204936e+01, 6.885364880047541192e+01, 5.068051742686056826e+01, 5.872161487340837027e+01, 1.509056951685406034e+02, 8.105597504571723277e+01, 3.868007088866177412e+01, 4.126888036336204379e+01
2.056000000000000000e+03, 1.093207058367204212e+02, 4.927428913796211418e+01, 5.329265931645760901e+01, 9.032829554065368427e+01, 1.480481797124936350e+02, 1.493971821372600459e+02, 9.951990285622839849e+01, 6.520930652588798182e+01, 9.035948055928786005e+01, 6.827237519965764534e+01, 4.985511508964314231e+01, 5.769600222938518641e+01, 1.515031154860836295e+02, 7.959419451450125393e+01, 3.827331178116451582e+01, 4.062425436924041833e+01
2.057000000000000000e+03, 1.093761517914999075e+02, 4.842860296051928515e+01, 5.310534580231679058e+01, 9.092233068306099142e+01, 1.485476693092347205e+02, 1.500950522614546969e+02, 9.844020007520980187e+01, 6.468619665014546172e+01, 8.986049296126940078e+01, 6.767572558726918430e+01, 4.903504745520312724e+01, 5.663189672795805052e+01, 1.517264311759181794e+02, 7.932133611316523059e+01, 3.784513314026886377e+01, 3.968913215121876448e+01
2.058000000000000000e+03, 1.097338247788342471e+02, 4.774177088815049785e+01, 5.235564674502852966e+01, 9.135982271506451013e+01, 1.495083922385926485e+02, 1.507277611094700376e+02, 9.723761659390086720e+01, 6.443331895769519235e+01, 8.939263465787084328e+01, 6.731583181584791475e+01, 4.831854384824631410e+01, 5.619138705320858662e+01, 1.521028114276395797e+02, 7.951553895289613649e+01, 3.704416188037249924e+01, 3.933471969242594923e+01
2.059000000000000000e+03, 1.096801329386776018e+02, 4.698320773752173096e+01, 5.178678102190774979e+01, 9.223622278429365906e+01, 1.499862290552306945e+02, 1.514604717859687071e+02, 9.692985766224992972e+01, 6.401411963649226777e+01, 8.883310704836978289e+01, 6.749764126851810886e+01, 4.750855748114209831e+01, 5.511176662330172604e+01, 1.529095399679376044e+02, 7.963534346074266068e+01, 3.687640043858436911e+01, 3.874976824211737636e+01
2.060000000000000000e+03, 1.093125902341097344e+02, 4.678376380129007828e+01, 5.098859261658287068e+01, 9.272984212508076496e+01, 1.504658059236973031e+02, 1.521770436458600955e+02, 9.682330851099584379e+01, 6.346489579198215836e+01, 8.810781878499916786e+01, 6.690387237818904964e+01, 4.686802776239017021e+01, 5.458226416188143304e+01, 1.540750034142300535e+02, 7.830437197789264303e+01, 3.641457535017446645e+01, 3.778244170640709854e+01
2.061000000000000000e+03, 1.094285696826836016e+02, 4.603267362527216022e+01, 5.049201837810712590e+01, 9.319917442187600898e+01, 1.502810040584435001e+02, 1.526620610518155274e+02, 9.613083967752803005e+01, 6.273226532418235024e+01, 8.727094844616713942e+01, 6.663209479902448606e+01, 4.588793219894290587e+01, 5.475175369586375496e+01, 1.551634668892953925e+02, 7.540261719924748718e+01, 3.596552351118571522e+01, 3.677438724413990201e+01
2.062000000000000000e+03, 1.098806108504932126e+02, 4.502056099769772857e+01, 4.973892994800036860e+01, 9.394545954977446911e+01, 1.501008351570810646e+02, 1.536263251397243437e+02, 9.537346690129731996e+01, 6.256871829428924769e+01, 8.705482113295079216e+01, 6.542297331224003187e+01, 4.526816626553413414e+01, 5.393625916050903157e+01, 1.554770773051883168e+02, 7.485126765265424353e+01, 3.549290263980886806e+01, 3.600603118125965807e+01
