year, CNRM-ESM2-1, UKESM1-0-LL, NorESM2-MM, TaiESM1, INM-CM4-8, GFDL-ESM4, INM-CM5-0, EC-Earth3-Veg, MPI-ESM1-2-LR, MIROC-ES2L, ACCESS-ESM1-5, CMCC-ESM2, CanESM5, CESM2-WACCM, NorESM2-LM, IPSL-CM6A-LR
2.045000000000000000e+03, 8.095107106045604795e-01, 1.946125110694901572e+00, 1.037380012047104616e+00, 1.980578134817648328e+00, 1.465178990933725611e+00, 1.209003670460180313e+00, 1.558473152932439376e+00, 2.209200008331220211e+00, 1.436938764476387353e+00, 1.349850897566944097e+00, 1.186237444687621156e+00, 1.225681562281096593e+00, 1.884112073465820325e+00, 1.317064394894763568e+00, 9.762194273803125322e-01, 1.421951880351054243e+00
2.046000000000000000e+03, 8.180297073937939922e-01, 1.934077720230309438e+00, 1.044072461710340516e+00, 1.849821458228999127e+00, 1.521940374532178231e+00, 1.235455114387176589e+00, 1.510347436350492956e+00, 2.250576436947931747e+00, 1.359134691235367898e+00, 1.321452270433552512e+00, 1.207480363867355244e+00, 1.200466700837963474e+00, 1.974393813956066168e+00, 1.303682227540416738e+00, 9.851145268197116778e-01, 1.422610348489009358e+00
2.047000000000000000e+03, 6.933131014593298946e-01, 1.961284272273749352e+00, 1.024346028426285971e+00, 1.789035683772803864e+00, 1.492861577207225565e+00, 1.214344954743898919e+00, 1.527828971501622224e+00, 2.303306967260329241e+00, 1.386932471222979801e+00, 1.342067293975864661e+00, 1.173710594223145165e+00, 1.214123973976874771e+00, 2.009934850494910386e+00, 1.307661586751991845e+00, 9.792359287131214840e-01, 1.408709940480355138e+00
2.048000000000000000e+03, 8.547535263567813679e-01, 1.971893391286192010e+00, 1.031589632304025894e+00, 1.983184309723575955e+00, 1.512536033846923145e+00, 1.185275164730416053e+00, 1.568179148365353548e+00, 2.297035675791210263e+00, 1.471451379118442038e+00, 1.356892495105420204e+00, 1.159697858747889665e+00, 1.244247740111694700e+00, 1.871307309131638341e+00, 1.317175978069129894e+00, 9.620112441083418231e-01, 1.436482126181401142e+00
2.049000000000000000e+03, 8.339265518105708486e-01, 1.961425721005448430e+00, 1.019734667736424738e+00, 2.091452006112685780e+00, 1.553376209858091883e+00, 1.254148869672497169e+00, 1.546259331566318229e+00, 2.295762406002737954e+00, 1.441786477488594231e+00, 1.367098213413375785e+00, 1.128061371777766331e+00, 1.215492594451056618e+00, 1.839992864013996643e+00, 1.322759914091445665e+00, 9.423903972264190410e-01, 1.385232544964677626e+00
2.050000000000000000e+03, 8.020794049140184123e-01, 1.949825795850528065e+00, 1.015160548573519783e+00, 1.871880278000966014e+00, 1.498504991102677320e+00, 1.231106727656864352e+00, 1.502719200899885310e+00, 2.250359348687026362e+00, 1.515544377639546969e+00, 1.347083586315100279e+00, 1.146527081447082264e+00, 1.254626781731541518e+00, 1.866151124874093181e+00, 1.317701645002135935e+00, 9.533259272097931447e-01, 1.348428626492067073e+00
2.051000000000000000e+03, 8.442883054642735807e-01, 1.963516743376038320e+00, 1.019166237969195254e+00, 1.766304985379381742e+00, 1.504408342526485587e+00, 1.229197554061303821e+00, 1.533280798470615158e+00, 2.396868859567411914e+00, 1.437931050926276377e+00, 1.345239636188080068e+00, 1.197371637918818621e+00, 1.255580446679736673e+00, 1.967824200517773292e+00, 1.315123390693813565e+00, 9.836713110634716095e-01, 1.387532404318076118e+00
2.052000000000000000e+03, 8.399889409078982183e-01, 1.961039513903356513e+00, 1.019676228869044632e+00, 1.883369325111375669e+00, 1.499974598080364929e+00, 1.236287571715914302e+00, 1.564528514527976144e+00, 2.183742995133401088e+00, 1.447224065428427631e+00, 1.361087973365700199e+00, 1.177466771527946987e+00, 1.212105448264746643e+00, 2.013458962249172757e+00, 1.367292289250638504e+00, 9.896510767844741707e-01, 1.358093642289878833e+00
2.053000000000000000e+03, 8.727589334952138289e-01, 1.968809762150270259e+00, 1.017225435043835224e+00, 2.057834685693517685e+00, 1.509827819763203349e+00, 1.211920114863030973e+00, 1.522478784093582282e+00, 2.264080995330610246e+00, 1.520127022599991440e+00, 1.366300989953861400e+00, 1.113477356086405745e+00, 1.185749331818074070e+00, 1.901924967116499721e+00, 1.391597193745151229e+00, 9.798204613172976085e-01, 1.370312271512801106e+00
2.054000000000000000e+03, 8.504661158718530567e-01, 1.933855258157592516e+00, 1.041860538258255309e+00, 2.174785379777550265e+00, 1.533924624945045112e+00, 1.233903242941662981e+00, 1.546035573144401765e+00, 2.304307163933139169e+00, 1.546066077642412884e+00, 1.370253778056575999e+00, 1.135780448142883925e+00, 1.169101721784804537e+00, 1.854144753855537120e+00, 1.395756668889073016e+00, 9.681566016449290046e-01, 1.362126119148637127e+00
