year, NorESM2-MM, TaiESM1, CESM2-WACCM, NorESM2-LM, CNRM-ESM2-1, MIROC-ES2L, UKESM1-0-LL, EC-Earth3-Veg, CanESM5, MPI-ESM1-2-LR, ACCESS-ESM1-5, IPSL-CM6A-LR, CMCC-CM2-SR5
2.049000000000000000e+03, 9.334004919466151762e+01, 8.611285590425016778e+01, 1.068501529273615489e+02, 9.569226350616303023e+01, 1.353399452937090643e+02, 1.077318223922511322e+02, 2.361195483308580947e+02, 1.555613963728180522e+02, 2.392206613108022566e+02, 9.217071347509313739e+01, 1.202138299478743875e+02, 1.203308385032766523e+02, 1.899642319795459002e+02
2.050000000000000000e+03, 9.340241764847023376e+01, 8.658688326780601585e+01, 1.069568971019000401e+02, 9.571413010980751324e+01, 1.353317795687667910e+02, 1.078567259349174634e+02, 2.360695389937317259e+02, 1.556141350565294772e+02, 2.392826171206409356e+02, 9.239173382910992416e+01, 1.201178809716261497e+02, 1.203102076498109767e+02, 1.901605264494177163e+02
2.051000000000000000e+03, 9.346243745881757548e+01, 8.664890743680366825e+01, 1.070898647137216528e+02, 9.571139374359373164e+01, 1.352178583093403290e+02, 1.077645577295878780e+02, 2.363138218949535485e+02, 1.556167710193420817e+02, 2.392507087881485859e+02, 9.282986580891568451e+01, 1.201391066027991315e+02, 1.202846392650460245e+02, 1.902551200364084139e+02
2.052000000000000000e+03, 9.350509653616204275e+01, 8.644072093956913250e+01, 1.071126169699817723e+02, 9.574803342176969068e+01, 1.352151934460181337e+02, 1.078448455119779368e+02, 2.367222397826214717e+02, 1.555214688038942370e+02, 2.393462427838266535e+02, 9.293833054370215052e+01, 1.202266965461989940e+02, 1.202324541062021268e+02, 1.903822236683500932e+02
2.053000000000000000e+03, 9.355269030850926981e+01, 8.621508693186294181e+01, 1.071990531600337420e+02, 9.581588880742008030e+01, 1.351054297548942884e+02, 1.081197096907319946e+02, 2.365436113488759133e+02, 1.555314155542960179e+02, 2.394939686320556689e+02, 9.296423013043880701e+01, 1.201490299588124628e+02, 1.201715376340670787e+02, 1.904910569413756036e+02
2.054000000000000000e+03, 9.359008532712736894e+01, 8.612552672835582257e+01, 1.073752856411501426e+02, 9.586226265306089545e+01, 1.351035859958340666e+02, 1.083365414732630825e+02, 2.368080739236339980e+02, 1.555793059092883937e+02, 2.395201772738953423e+02, 9.322371769372381323e+01, 1.200345037184184918e+02, 1.201642041357596895e+02, 1.904962313504781264e+02
2.055000000000000000e+03, 9.363298284186727471e+01, 8.622113781994526960e+01, 1.075695363115807908e+02, 9.590775658250130675e+01, 1.350205404371307338e+02, 1.083783915469654318e+02, 2.365582689713258446e+02, 1.556068627390157530e+02, 2.395849192037929356e+02, 9.358297620648092163e+01, 1.199900924747160218e+02, 1.201322303761055110e+02, 1.906079685650165345e+02
2.056000000000000000e+03, 9.370588765883705662e+01, 8.637520110903646753e+01, 1.076884587956084829e+02, 9.594114348206484522e+01, 1.350769041782630779e+02, 1.081145305494493982e+02, 2.361473336548023667e+02, 1.556271522629108688e+02, 2.397057502393938933e+02, 9.354348763045292969e+01, 1.199394418626960999e+02, 1.201201096095349214e+02, 1.907560639251624082e+02
2.057000000000000000e+03, 9.374815111277408164e+01, 8.633479290049957910e+01, 1.077662327414214332e+02, 9.599268859981413016e+01, 1.351926564812835352e+02, 1.079447779409233874e+02, 2.360481668433287723e+02, 1.556076517591551749e+02, 2.397945161110129391e+02, 9.368203937402317649e+01, 1.198434337064170023e+02, 1.201029876748776388e+02, 1.908888873655474470e+02
2.058000000000000000e+03, 9.378017680809861645e+01, 8.613481979294101620e+01, 1.079093951343380695e+02, 9.604748134159535766e+01, 1.350380368540857603e+02, 1.080426724802976537e+02, 2.357318478002428606e+02, 1.556153154313509788e+02, 2.398800551672604229e+02, 9.365672002254891026e+01, 1.195761643539002534e+02, 1.200780690834946114e+02, 1.910205434548533958e+02
2.059000000000000000e+03, 9.383969154430833726e+01, 8.598593825571221316e+01, 1.079707396605304126e+02, 9.608303062829970997e+01, 1.350776374017840737e+02, 1.080447748730984046e+02, 2.357815293949402644e+02, 1.556426904015816035e+02, 2.399625628729903610e+02, 9.366897693180553119e+01, 1.193792635721126061e+02, 1.200848721636772609e+02, 1.911509120785825928e+02
2.060000000000000000e+03, 9.390813297160887885e+01, 8.594578182025536250e+01, 1.080691205943911939e+02, 9.608915297797747712e+01, 1.350455842029365670e+02, 1.077740429454898390e+02, 2.358940476649785296e+02, 1.556064432809185689e+02, 2.400081190590765061e+02, 9.373305768185345244e+01, 1.193794581157214765e+02, 1.201180206003440247e+02, 1.913083102214297071e+02
2.061000000000000000e+03, 9.394859219550703244e+01, 8.640650716485220073e+01, 1.082256545095129070e+02, 9.614624921395132162e+01, 1.350057226868161422e+02, 1.076688426801025287e+02, 2.354360700100374686e+02, 1.555046514630539889e+02, 2.400222779009631608e+02, 9.369418368266421737e+01, 1.193933949183832794e+02, 1.201111523668992476e+02, 1.913289078306763429e+02
2.062000000000000000e+03, 9.394670029526557187e+01, 8.649929559129938639e+01, 1.083123794257562338e+02, 9.617867553483678478e+01, 1.350060546294089647e+02, 1.078748950785451939e+02, 2.354676401637728702e+02, 1.554115301980167487e+02, 2.401490644114132067e+02, 9.387816812906551434e+01, 1.193360278415563300e+02, 1.201156705595096525e+02, 1.914300064694720334e+02
2.063000000000000000e+03, 9.400427145112170990e+01, 8.598066109393785439e+01, 1.083776550639956753e+02, 9.621271485428995618e+01, 1.347721193610169621e+02, 1.079485670536897004e+02, 2.359463233748765276e+02, 1.553259934723130868e+02, 2.402398777095500009e+02, 9.369365421365061763e+01, 1.193083483360698835e+02, 1.201046648157516898e+02, 1.915260497048304558e+02
2.064000000000000000e+03, 9.405962730670366057e+01, 8.597702869020969274e+01, 1.085024002115575712e+02, 9.625285561169434345e+01, 1.347042368846475142e+02, 1.078678526481343880e+02, 2.359087418970641750e+02, 1.552663531736860989e+02, 2.402715078126818469e+02, 9.369867539696797110e+01, 1.193440932174830493e+02, 1.200764389399663941e+02, 1.916692429196554599e+02
