year, NorESM2-MM, MPI-ESM1-2-LR, TaiESM1, TaiESM1, NorESM2-LM, NorESM2-MM, CESM2-WACCM, CNRM-ESM2-1, GFDL-ESM4, GFDL-ESM4, CNRM-ESM2-1, EC-Earth3-Veg
2.050000000000000000e+03, 9.861664538480032879e-10, 8.794247148619868406e-10, 4.763338558074413500e-10, 4.763338558074413500e-10, 8.254013731290922865e-10, 9.861664538480032879e-10, 8.035424049334412841e-10, 5.164461701642368237e-10, 9.796209675550033672e-10, 8.740382185429614115e-10, 5.164461701642368237e-10, 8.055220280194725378e-10
2.051000000000000000e+03, 1.584448545265207003e-09, 8.953840436494014065e-10, 3.774544877209113603e-10, 3.774544877209113603e-10, 1.392846296907963987e-09, 1.584448545265207003e-09, 5.296276799573160999e-10, 5.732368475446050379e-10, 1.080860767565785348e-09, 9.724139319197185808e-10, 5.732368475446050379e-10, 9.611627082307350058e-10
2.052000000000000000e+03, 1.684106917406961060e-09, 9.009837123491569663e-10, 3.049286328079170101e-10, 3.049286328079170101e-10, 1.450242977644589751e-09, 1.684106917406961060e-09, 6.405478109181807065e-10, 5.224348828643727594e-10, 1.110651313824798500e-09, 1.000598809430337991e-09, 5.224348828643727594e-10, 1.273315890613796755e-09
2.053000000000000000e+03, 1.566725743950365907e-09, 9.122932903623140361e-10, 2.635139009290481173e-10, 2.635139009290481173e-10, 1.554115562263697906e-09, 1.566725743950365907e-09, 6.232510768751484743e-10, 6.673296453031073910e-10, 1.241186647285578178e-09, 1.127951420455195357e-09, 6.673296453031073910e-10, 8.140906067988923580e-10
2.054000000000000000e+03, 1.145641326863587043e-09, 9.060248774975880487e-10, 2.495244171881604204e-10, 2.495244171881604204e-10, 9.722057633260647352e-10, 1.145641326863587043e-09, 8.004953064455536957e-10, 5.716659703095543420e-10, 1.144685971912850143e-09, 1.030789480948260699e-09, 5.716659703095543420e-10, 1.219930181578674737e-09
2.055000000000000000e+03, 1.266740529506340053e-09, 9.409228306334564496e-10, 3.446563643396255447e-10, 3.446563643396255447e-10, 1.137838663097510255e-09, 1.266740529506340053e-09, 6.870560072684366321e-10, 4.895344385234797041e-10, 1.235541264481149933e-09, 1.119996456704713039e-09, 4.895344385234797041e-10, 7.099926429864693441e-10
2.056000000000000000e+03, 1.849309079507902740e-09, 8.492480526370392171e-10, 3.268609021558993633e-10, 3.268609021558993633e-10, 1.222102717093283468e-09, 1.849309079507902740e-09, 8.523709450601182416e-10, 5.998594689675917945e-10, 9.198748427485951349e-10, 8.001708605218667427e-10, 5.998594689675917945e-10, 6.166562535682915841e-10
2.057000000000000000e+03, 1.431120415560949021e-09, 9.139034496184044002e-10, 2.721546843703448656e-10, 2.721546843703448656e-10, 1.552136167256646893e-09, 1.431120415560949021e-09, 8.529765316245344730e-10, 4.107415313866010637e-10, 1.002814268937871111e-09, 8.817203729387255190e-10, 4.107415313866010637e-10, 7.202835474979092515e-10
2.058000000000000000e+03, 1.578971195607464925e-09, 8.642518080847538541e-10, 2.517447099409608558e-10, 2.517447099409608558e-10, 1.394353475157346833e-09, 1.578971195607464925e-09, 7.318996559534163762e-10, 5.440596196203448237e-10, 1.235398500730858565e-09, 1.110715998475943124e-09, 5.440596196203448237e-10, 7.747901297106291945e-10
2.059000000000000000e+03, 1.602109164320397368e-09, 8.415219322190990606e-10, 2.209832926013111231e-10, 2.209832926013111231e-10, 1.282548589209228576e-09, 1.602109164320397368e-09, 6.387714848738071409e-10, 5.140041980886329089e-10, 7.046615349614861996e-10, 5.821253698800113387e-10, 5.140041980886329089e-10, 8.870349122367999190e-10
2.060000000000000000e+03, 1.363407888814845251e-09, 8.971999170921801658e-10, 4.370988478239095090e-10, 4.370988478239095090e-10, 1.086743931376193252e-09, 1.363407888814845251e-09, 8.307752263960888929e-10, 4.556482609949504978e-10, 1.165014018250958660e-09, 1.043470186172227438e-09, 4.556482609949504978e-10, 6.807037570911808457e-10
2.061000000000000000e+03, 1.909790477184678736e-09, 9.392472262798915807e-10, 4.948577072815392826e-10, 4.948577072815392826e-10, 1.500292861865850337e-09, 1.909790477184678736e-09, 6.724197095824770609e-10, 4.141544295386178838e-10, 9.711197015951819946e-10, 8.492778299674044709e-10, 4.141544295386178838e-10, 9.772565624725935773e-10
