year, UKESM1-0-LL, NorESM2-MM, MPI-ESM1-2-LR, EC-Earth3-Veg, CESM2-WACCM, TaiESM1, IPSL-CM6A-LR, CNRM-ESM2-1, NorESM2-LM, CMCC-ESM2
2.072000000000000000e+03, 3.212993205545339079e-10, 1.111687759494661161e-09, 5.094192119102110642e-10, 8.296946254199426211e-10, 1.222739888159549798e-10, 8.981958806714872405e-10, 3.362383171872831497e-10, 4.601548370437199876e-10, 1.080667705715027085e-09, 5.715152211034583308e-10
2.073000000000000000e+03, 3.228320249146851449e-10, 1.172409248385133192e-09, 5.067828705407963601e-10, 8.235715751156344378e-10, 1.225352668094698146e-10, 8.964218987991211876e-10, 3.328195566734457059e-10, 4.562667413238577704e-10, 1.062287001666273799e-09, 5.729161670068044796e-10
2.074000000000000000e+03, 3.306965606705851224e-10, 1.177224673245991879e-09, 5.020098323292048170e-10, 8.207459604727028852e-10, 1.230243698428847017e-10, 8.962743732210306294e-10, 3.277204175611024155e-10, 4.603092721456934712e-10, 1.140249049244599406e-09, 5.784019614111359341e-10
2.075000000000000000e+03, 3.246023463907130167e-10, 1.135143691366144377e-09, 4.832890743153490257e-10, 8.217350866890009873e-10, 1.238366296079199201e-10, 8.893837619444396963e-10, 3.225276757045464908e-10, 4.732620296915590561e-10, 1.099162508131507947e-09, 5.929435422860987800e-10
2.076000000000000000e+03, 2.843337088092460284e-10, 1.090693771708046412e-09, 4.713740880107983559e-10, 7.550197666249465088e-10, 1.471871464255821293e-10, 8.903043190509436594e-10, 2.973388271401635373e-10, 4.041362881065281345e-10, 1.027584057721226160e-09, 5.932403479589780765e-10
2.077000000000000000e+03, 2.652143660251806261e-10, 1.057310413043603731e-09, 4.716140460519092637e-10, 7.510993787624492440e-10, 1.506784922210918315e-10, 8.889314479291663617e-10, 2.929940780583645485e-10, 4.001041227687004762e-10, 1.106444899824942389e-09, 5.925231067419442606e-10
2.078000000000000000e+03, 2.577608504155995375e-10, 1.173218983801549849e-09, 4.710607549046842650e-10, 7.526669082686741008e-10, 1.507830695216615335e-10, 8.872338242121356181e-10, 2.883767395028701344e-10, 3.985651923591284924e-10, 1.102323918522061575e-09, 5.929196179641489893e-10
2.079000000000000000e+03, 2.568962227817277258e-10, 1.159381214212589318e-09, 4.693166981692843555e-10, 7.643444915833310331e-10, 1.541082584998754425e-10, 8.883985315284723179e-10, 2.841651350904676084e-10, 3.995209657084692233e-10, 1.158415025940043496e-09, 5.980752892274750098e-10
2.080000000000000000e+03, 2.613473698401344233e-10, 1.132230801367752215e-09, 4.531285499321458249e-10, 7.513321171442213494e-10, 1.558166538545641018e-10, 8.461534261207214469e-10, 2.790047711714425530e-10, 3.956795328105230936e-10, 1.066277441544309532e-09, 5.775073311467707355e-10
2.081000000000000000e+03, 2.471537301031258886e-10, 1.054365535163041035e-09, 4.433612494760698929e-10, 6.703727985832752490e-10, 1.481935673558604974e-10, 8.413979795701717321e-10, 2.459145183337897282e-10, 3.441649227531894247e-10, 9.905452086080033219e-10, 5.726473753437714786e-10
2.082000000000000000e+03, 2.447808754605106027e-10, 1.076073752578595707e-09, 4.401254365970928661e-10, 6.862988232151899476e-10, 1.484797988227792236e-10, 8.365810989850197744e-10, 2.404169279714466227e-10, 3.440819936609860391e-10, 1.067748020668088168e-09, 5.685850339634035269e-10
2.083000000000000000e+03, 2.486670555519900745e-10, 1.081838372449539085e-09, 4.373138594242551958e-10, 6.771619110320333339e-10, 1.477104035921763319e-10, 8.388771259471369139e-10, 2.374087289047766680e-10, 3.394466555629544026e-10, 1.032527173108458672e-09, 5.655569628716233214e-10
2.084000000000000000e+03, 2.533557801065140424e-10, 1.061966081250422789e-09, 4.371732285407264963e-10, 7.034760151853513912e-10, 1.492744429224181660e-10, 8.448360913209301020e-10, 2.360139395301676878e-10, 3.413840162073496805e-10, 9.684025759159950773e-10, 5.674372553370982583e-10
2.085000000000000000e+03, 2.521724203772474487e-10, 1.123932588342389220e-09, 4.304100226475539381e-10, 7.060600102564187345e-10, 1.509614641513617283e-10, 8.127026258633611876e-10, 2.331168427066533061e-10, 3.387069612701289697e-10, 9.545611258347536649e-10, 5.320629461223367590e-10
2.086000000000000000e+03, 2.298930776325243410e-10, 1.053959367163435380e-09, 4.235893450192388359e-10, 6.126437732818167549e-10, 1.196114280353939322e-10, 8.121359672721080463e-10, 2.268046763816373202e-10, 2.915522112820579978e-10, 1.072404474167495155e-09, 5.255490226994529413e-10
2.087000000000000000e+03, 2.217607823561601556e-10, 1.065402756985995542e-09, 4.199243769366835851e-10, 6.158840390913547660e-10, 1.155851323708294559e-10, 8.089907568813330380e-10, 2.242771834895522753e-10, 2.838752506594594982e-10, 1.086099467575008488e-09, 5.081790101041936672e-10
2.088000000000000000e+03, 2.207067005152259763e-10, 1.040040651926276233e-09, 4.181804973824063402e-10, 5.993500306149419209e-10, 1.139545949383565631e-10, 8.031462310755345815e-10, 2.217116308158194679e-10, 2.761506396891990651e-10, 1.070836305138057040e-09, 5.027889810630906449e-10
2.089000000000000000e+03, 2.223705010289860907e-10, 1.037900959783285752e-09, 4.194005645260031270e-10, 5.993391939408380862e-10, 1.127432226810474624e-10, 7.995271122493522167e-10, 2.196596487457966363e-10, 2.778735414239166105e-10, 9.589472878681994382e-10, 4.970195235871517940e-10
2.090000000000000000e+03, 2.219727982488695754e-10, 1.078216175295247485e-09, 4.127868882994173487e-10, 6.011437597397841307e-10, 1.107598544984538870e-10, 7.844648972175439266e-10, 2.139102572848150620e-10, 2.767316405922709867e-10, 1.039849393092709666e-09, 4.775344815494175501e-10
2.091000000000000000e+03, 2.095448693527611959e-10, 1.100903448690438319e-09, 4.065852642608033211e-10, 5.360405383377655336e-10, 9.926980515346393099e-11, 7.824985250065346047e-10, 1.958400845189557092e-10, 2.521136717485857641e-10, 1.020964640269090279e-09, 4.714130597237245829e-10
2.092000000000000000e+03, 2.054275234217434185e-10, 1.147095331168632890e-09, 4.033815335082269353e-10, 5.295491181051368443e-10, 9.802452396592234497e-11, 7.800712021052990935e-10, 1.935091255203154412e-10, 2.507180383568912172e-10, 1.054518190189551742e-09, 4.626552231062866828e-10
2.093000000000000000e+03, 2.051200963406738333e-10, 1.139214321815871600e-09, 4.021108764825136151e-10, 5.463994284088707764e-10, 9.546515624104652089e-11, 7.721971443726866764e-10, 1.900747791011792028e-10, 2.426373367277896552e-10, 1.014542387426733749e-09, 4.558108570769046596e-10
2.094000000000000000e+03, 2.074170857396986471e-10, 1.165992337217620746e-09, 3.987133145688262052e-10, 5.252960445960385892e-10, 9.456223570216774544e-11, 7.693926578288299017e-10, 1.863400092061444706e-10, 2.301870348512278798e-10, 1.021936817691240671e-09, 4.516818489495312929e-10
2.095000000000000000e+03, 2.027180926930848991e-10, 1.137813159251380905e-09, 3.712530330815559471e-10, 4.996783082740777197e-10, 9.318487334042302450e-11, 7.115228740663375915e-10, 1.827321277628130543e-10, 2.281491373835011927e-10, 1.051593402304555516e-09, 3.962381635734681621e-10
2.096000000000000000e+03, 1.687787352896001307e-10, 1.104378229597684620e-09, 3.505940034983679358e-10, 3.971206094058848640e-10, 8.944076609756489957e-11, 7.142385495743870987e-10, 1.353899332486979425e-10, 1.938279534075679843e-10, 1.000504784843071144e-09, 3.842719086579016135e-10
2.097000000000000000e+03, 1.513429288243431517e-10, 1.159538431815908301e-09, 3.435158857944720714e-10, 3.193234908608803907e-10, 8.850507799411929071e-11, 7.279652080128627561e-10, 1.322009057733814498e-10, 1.896513659932333128e-10, 9.779173848255772878e-10, 3.749645768038102482e-10
2.098000000000000000e+03, 1.442980408344924382e-10, 1.103310605969128006e-09, 3.393552419088101987e-10, 3.044798814883184174e-10, 8.659086938465741465e-11, 7.402282705752817650e-10, 1.291765395448377218e-10, 1.843785412664886083e-10, 1.023394585030242729e-09, 3.682002346596347126e-10
2.099000000000000000e+03, 1.426892285510739997e-10, 1.037936855930373241e-09, 3.373371710713413264e-10, 2.908304194612272065e-10, 8.646152814560510820e-11, 7.540414033133001146e-10, 1.273679080913155983e-10, 1.908443418124009133e-10, 1.041458164056758124e-09, 3.663522949273677716e-10
2.100000000000000000e+03, 1.344853043966623353e-10, 1.061876611885444937e-09, 1.961390436261903068e-10, 3.082534634802745934e-10, 8.572906070164808127e-11, 5.319076156060891948e-10, 1.261308675216872748e-10, 1.964863965404675841e-10, 1.017854337446925293e-09, 2.159251766402511630e-10
