year, UKESM1-0-LL, MIROC-ES2L, TaiESM1, CNRM-ESM2-1, GFDL-ESM4, MPI-ESM1-2-LR, NorESM2-LM, EC-Earth3-Veg, INM-CM5-0, CMCC-CM2-SR5, CESM2-WACCM, CanESM5, IPSL-CM6A-LR, INM-CM4-8, NorESM2-MM, ACCESS-ESM1-5
2.049000000000000000e+03, 1.883699161222447627e+00, 2.840021422488707703e+00, 2.210396895367792602e+00, 1.523715897531645602e+00, 2.280070776707619373e+00, 1.882584363614256295e+00, 1.539627643493392650e+00, 2.058623895428269623e+00, 2.397973397696616882e+00, 2.282919089741985541e+00, 2.120446052337936482e+00, 2.470258556239421921e+00, 2.294311240741361946e+00, 2.325957066197994472e+00, 1.895156039109344714e+00, 2.361146966904298150e+00
2.050000000000000000e+03, 2.053770680398366189e+00, 2.675866781223653845e+00, 2.180321434424903781e+00, 1.542465279478355988e+00, 2.296545357198721327e+00, 1.854349018070920563e+00, 1.894612683483556825e+00, 2.022961191248622725e+00, 2.199783238059937140e+00, 2.222080671177258271e+00, 2.143299907840542584e+00, 2.765859125744357883e+00, 2.265568219872230671e+00, 2.241643474724225982e+00, 1.738295400877229557e+00, 2.488958899494913890e+00
2.051000000000000000e+03, 2.082573652845073564e+00, 2.689951573497436854e+00, 2.126526209454521865e+00, 1.632352261609054667e+00, 2.253703919321318860e+00, 1.795813080193503719e+00, 1.862864576086569635e+00, 1.927067735528099401e+00, 2.499383694937339140e+00, 2.285606125484180851e+00, 2.235938715453837489e+00, 2.782644577580568601e+00, 2.366415951842288035e+00, 2.260490836983997109e+00, 1.816603571014418606e+00, 2.621484992887454624e+00
2.052000000000000000e+03, 1.956337238002574086e+00, 2.804039065782510942e+00, 2.502772312840324975e+00, 1.703816469688364421e+00, 2.239856891921776061e+00, 1.964859704772695892e+00, 1.771046866127067076e+00, 1.932092717989823516e+00, 2.419744911970989509e+00, 2.317355205725450951e+00, 2.304114055730351662e+00, 2.802823392907310751e+00, 2.332697282233032521e+00, 2.298628978803956446e+00, 1.869263489392628763e+00, 2.414672451147265697e+00
2.053000000000000000e+03, 2.024609628350958257e+00, 2.932059650281459096e+00, 2.423071453415601262e+00, 1.642977700138119834e+00, 2.373712877693227252e+00, 1.994192077043374312e+00, 1.696760824015320912e+00, 2.064566809417094362e+00, 2.373605245987858048e+00, 2.541830509535791816e+00, 2.297992332595937270e+00, 2.427674625191925006e+00, 2.473999950183131347e+00, 2.339537595118283519e+00, 1.838398220876500622e+00, 2.528348925878817877e+00
2.054000000000000000e+03, 1.917063557410927821e+00, 2.592384311828536347e+00, 2.474397916168072253e+00, 1.852285109473133629e+00, 2.324284550808344285e+00, 1.953805585034550818e+00, 1.797191624847738423e+00, 1.959600434978493899e+00, 2.463005731840524959e+00, 2.544915811115336268e+00, 1.891464513797582292e+00, 2.636590100601030162e+00, 2.336726222694545552e+00, 2.298404257862360911e+00, 1.931630547293009315e+00, 2.518856170897126656e+00
2.055000000000000000e+03, 1.735000684889289824e+00, 2.600979381904800825e+00, 2.332804919082759998e+00, 1.479416195386104693e+00, 2.259767767749460532e+00, 1.731563521227298619e+00, 1.711475085984255351e+00, 2.084800789957771183e+00, 2.478985444982210851e+00, 2.577937513252595014e+00, 2.029118473189203353e+00, 2.765830032604398525e+00, 2.468552111279738615e+00, 2.347330965472564035e+00, 1.821371385506608265e+00, 2.377190048139898870e+00
2.056000000000000000e+03, 1.814105079718023594e+00, 2.537947574861574296e+00, 2.253455900015580937e+00, 1.545491061288289947e+00, 2.251916502434383904e+00, 1.846374706170140101e+00, 1.898946122995037067e+00, 2.141006810770291757e+00, 2.314892979170516618e+00, 2.494980929096599631e+00, 2.243632666391505381e+00, 2.756497388567117568e+00, 2.427667549466927976e+00, 2.277822133204945754e+00, 1.859709208244802348e+00, 2.520142524445866172e+00
2.057000000000000000e+03, 1.905704869766339460e+00, 2.865899966704289259e+00, 2.381074352480253786e+00, 1.707456459350774391e+00, 2.188961040042930684e+00, 1.792998191820724063e+00, 1.745648290250934931e+00, 2.116676166867743625e+00, 2.335527143942117689e+00, 2.347231853796041712e+00, 2.084552198932559275e+00, 2.734398399784959910e+00, 2.334191576000864909e+00, 2.486374161789691062e+00, 1.823690954212445758e+00, 2.492431939319198264e+00
2.058000000000000000e+03, 2.090667515652391284e+00, 2.729205031192385444e+00, 2.356455147344064027e+00, 1.550726664873483873e+00, 2.063626349755005585e+00, 1.858675846923828923e+00, 1.707961468620603718e+00, 2.057561125945020386e+00, 2.412034609188561163e+00, 2.374402036983207509e+00, 2.116560337286308879e+00, 2.852981330497251555e+00, 2.535469598547977377e+00, 2.241727217552130558e+00, 1.903987149091319164e+00, 2.689460768972382620e+00
2.059000000000000000e+03, 1.980745355300651322e+00, 2.679630806684099031e+00, 2.723096801362028696e+00, 1.601557704503536961e+00, 2.328486598305020916e+00, 1.820604163848643653e+00, 1.873471610041989255e+00, 2.042777595934492929e+00, 2.460757001392214427e+00, 2.324558364986983428e+00, 2.302061141625780571e+00, 2.842805987936046552e+00, 2.498796575242745455e+00, 2.352065795553685668e+00, 1.721729262957236273e+00, 2.475149862660011468e+00
2.060000000000000000e+03, 1.740369077378739915e+00, 2.622665074393049522e+00, 2.226900052453937295e+00, 1.443441799823853788e+00, 2.172909992746777430e+00, 1.965355891473455685e+00, 1.746498909096120711e+00, 2.050500369975240211e+00, 2.496981991498277154e+00, 2.457739920255272992e+00, 2.049194588770547387e+00, 2.754311177393402588e+00, 2.375214408973803870e+00, 2.212172400188321841e+00, 1.711588187168355368e+00, 2.556398403105473616e+00
2.061000000000000000e+03, 2.010314893141804671e+00, 3.013389486307375353e+00, 2.174987970248475566e+00, 1.349212335519588191e+00, 2.317787543399599581e+00, 1.659544685282674958e+00, 1.737543457800412749e+00, 1.900804197606258406e+00, 2.383297949657183334e+00, 2.328034094805702114e+00, 2.064416628437954593e+00, 2.824035921150646722e+00, 2.304319635577656289e+00, 2.070793425959502887e+00, 1.732698436615898840e+00, 2.506082511497806919e+00
2.062000000000000000e+03, 2.097326882838460360e+00, 2.790272712915189413e+00, 2.242444046072653574e+00, 1.562285520462893151e+00, 2.157908915345348344e+00, 1.586655826486458754e+00, 1.758133998033680312e+00, 1.993099236914843253e+00, 2.344330940488513093e+00, 2.479483855873100939e+00, 2.198069219712410760e+00, 3.104229058784715445e+00, 2.456830539217639497e+00, 2.176831446855725272e+00, 1.899369262067496456e+00, 2.573472563162267690e+00
2.063000000000000000e+03, 1.841570607927635272e+00, 2.606115338345253996e+00, 2.491936753038708208e+00, 1.662646957500004685e+00, 2.168547173157586716e+00, 1.823802054190827304e+00, 1.882215104775574410e+00, 1.957414358034946122e+00, 2.531360556485577451e+00, 2.470980081545055995e+00, 2.085579343385758122e+00, 2.851865405627679539e+00, 2.505553490537156147e+00, 2.377093511686114713e+00, 1.638226341444950274e+00, 2.489367068827815110e+00
2.064000000000000000e+03, 2.126318104804818532e+00, 2.756489084150879343e+00, 2.396474312638332549e+00, 1.551235303986597813e+00, 2.272430647022516403e+00, 1.978075798228628113e+00, 1.713986943033035004e+00, 2.156537099968983462e+00, 2.524704957963733953e+00, 2.411712373682211474e+00, 2.207154896497978580e+00, 2.869680750529472579e+00, 2.449814255870778723e+00, 2.453687599240160999e+00, 1.727310440399929536e+00, 2.454978739467477578e+00
2.065000000000000000e+03, 1.988184437155029460e+00, 2.729674436861506237e+00, 2.199696823902390630e+00, 1.641575897440280096e+00, 2.029674769536958134e+00, 1.817873204112801178e+00, 1.630350292700750936e+00, 2.175365719282309040e+00, 2.511642166515529073e+00, 2.364798145505059068e+00, 2.128389945951944640e+00, 2.688555193547685462e+00, 2.553093812489818593e+00, 2.409613788994032113e+00, 1.739214624598699022e+00, 2.555752224738625955e+00
2.066000000000000000e+03, 1.919121227062311474e+00, 2.875313689407297701e+00, 2.384136434804200455e+00, 1.567202542123148801e+00, 2.199457325513807238e+00, 1.878080486739048593e+00, 1.571931926294188653e+00, 1.954691191579429610e+00, 2.449948709604070629e+00, 2.382339681510677210e+00, 2.253230269991222112e+00, 2.567756935658081829e+00, 2.521846950575130197e+00, 2.140151433347162513e+00, 1.774858151975809539e+00, 2.526781148560859336e+00
2.067000000000000000e+03, 1.921740951261253327e+00, 2.570841927731227550e+00, 2.592713756755983923e+00, 1.599617874284063213e+00, 2.253183714802362569e+00, 1.767424729073604928e+00, 1.532950339104843129e+00, 1.924376358274117793e+00, 2.402008159551208610e+00, 2.141349406368369124e+00, 2.284718481487256980e+00, 2.964743606148250610e+00, 2.535742678003591877e+00, 2.240543851313177015e+00, 1.870377701097557743e+00, 2.692172048300299547e+00
2.068000000000000000e+03, 2.031106976533195052e+00, 2.629682031614404725e+00, 2.205468192929224802e+00, 1.332231145502210889e+00, 2.246864914701998117e+00, 1.963179176863044217e+00, 1.755506333736566393e+00, 1.946353194976243817e+00, 2.540853432084233976e+00, 2.645231838269165081e+00, 2.033338757804094232e+00, 3.007716061787380823e+00, 2.389927852790874052e+00, 2.567185659875932391e+00, 1.912117868652998487e+00, 2.311091275791875344e+00
2.069000000000000000e+03, 1.948042153768988038e+00, 2.783111786810596566e+00, 2.256560252555672719e+00, 1.484373059484565438e+00, 2.116549289722145843e+00, 1.728947115590503847e+00, 1.678218543342943292e+00, 2.077628112409612537e+00, 2.460747515820299380e+00, 2.890651029305357778e+00, 2.195314392072952980e+00, 2.819532659690134668e+00, 2.432997263609337768e+00, 2.261649538836150164e+00, 1.859145899915078060e+00, 2.461495621234000453e+00
2.070000000000000000e+03, 2.167959279012822371e+00, 2.745995203242282301e+00, 2.314746259669717698e+00, 1.570525792207019267e+00, 2.256187367077918893e+00, 1.834710840611627702e+00, 1.675957619487392192e+00, 1.993726935261462829e+00, 2.517924546923049789e+00, 2.990113921621841531e+00, 2.281459941593518614e+00, 2.871135224839879374e+00, 2.263223296058737066e+00, 2.238164241607236260e+00, 1.863886894589787513e+00, 2.604927870315787430e+00
2.071000000000000000e+03, 1.842003750492366310e+00, 2.725902070030394864e+00, 2.663419773834259097e+00, 1.678924226431739886e+00, 2.364980917028485674e+00, 1.788755734108104845e+00, 1.751204298022939865e+00, 2.147382268207979727e+00, 2.565220167938718543e+00, 2.569621516133023587e+00, 2.103501102403554146e+00, 2.679676715559567324e+00, 2.382776157935957428e+00, 2.457542365911082882e+00, 1.794337863576945358e+00, 2.594478140788452070e+00
2.072000000000000000e+03, 2.000493369090110107e+00, 2.672245326390902065e+00, 2.307750190528457868e+00, 1.661417071282599967e+00, 2.223622417095826531e+00, 1.833768003028633631e+00, 1.788602074527609664e+00, 2.040456657637993665e+00, 2.262613365018655287e+00, 2.549541116408146291e+00, 1.884833304262961917e+00, 2.560468610064513317e+00, 2.582876652925734984e+00, 2.456418793491196961e+00, 1.852592775096511435e+00, 2.278136766100004262e+00
2.073000000000000000e+03, 1.963083753846110335e+00, 2.699588295386215808e+00, 2.506527511873112957e+00, 1.621869413501435986e+00, 2.061734970267107947e+00, 1.832241546265811483e+00, 1.803054778763314658e+00, 2.068770724191575816e+00, 2.466994573329932994e+00, 2.257989326013305931e+00, 2.061610391743287085e+00, 2.758146245828439369e+00, 2.587380335124580544e+00, 2.270902229243985548e+00, 1.933607240787061032e+00, 2.422623084643649172e+00
2.074000000000000000e+03, 1.847057048723802719e+00, 2.728981036059066501e+00, 2.068976962752063997e+00, 1.634282890438319535e+00, 2.068985570816631814e+00, 1.600984334230580064e+00, 1.813042531544150737e+00, 1.902845103421932027e+00, 2.380050253816436534e+00, 2.451079793303058363e+00, 2.215313612738406324e+00, 2.699935171802468226e+00, 2.465771887901458292e+00, 2.237861459423857280e+00, 1.892614831356182581e+00, 2.498176870869293964e+00
2.075000000000000000e+03, 2.117722759093204843e+00, 2.762139972755897954e+00, 2.519904077815528165e+00, 1.276413941296052235e+00, 2.264603293216673308e+00, 1.644441744770688274e+00, 1.644171971243415076e+00, 2.082452735572458025e+00, 2.284344404073328505e+00, 2.617967133276091651e+00, 2.250017264342159429e+00, 3.026575387233742198e+00, 2.451986664694688844e+00, 2.401001630905399420e+00, 1.788780605279604918e+00, 2.440491154113627381e+00
