year, TaiESM1, NorESM2-LM, NorESM2-MM, GFDL-ESM4, CNRM-ESM2-1
2.062000000000000000e+03, 3.584985552938167014e-10, 1.796719919587158117e-09, 1.461763448520503919e-09, 9.190605502107452488e-10, 3.525123536400342179e-10
2.063000000000000000e+03, 3.826332474163816481e-10, 8.576709284958216903e-10, 1.993652869891189148e-09, 8.473806255948295248e-10, 3.996920610234514612e-10
2.064000000000000000e+03, 3.874488051973733515e-10, 1.486624765306849896e-09, 1.271718307940655229e-09, 8.027098612312981591e-10, 4.022595940921916320e-10
2.065000000000000000e+03, 3.896140785520270479e-10, 1.110285741470545713e-09, 1.386749762971049912e-09, 7.396749143462028193e-10, 4.270211825954932810e-10
2.066000000000000000e+03, 3.167334192288204306e-10, 1.827337828665332160e-09, 1.582907890046325191e-09, 1.094977333722227943e-09, 5.025969211465357447e-10
2.067000000000000000e+03, 2.846805919631943647e-10, 1.484218984353532911e-09, 1.420252524739579876e-09, 7.057283786186642351e-10, 3.307885515816781625e-10
2.068000000000000000e+03, 4.233398395568598232e-10, 1.925187096307372639e-09, 8.935721028461824843e-10, 7.926008623587608737e-10, 3.872790113983569581e-10
2.069000000000000000e+03, 3.058016965233030610e-10, 1.096370041521916769e-09, 9.747390608380196118e-10, 9.323755730216044968e-10, 1.722048378604141489e-10
2.070000000000000000e+03, 3.370279751861618556e-10, 9.565835693488252237e-10, 1.300124989900038069e-09, 9.180302812883236600e-10, 4.304201479797672203e-10
2.071000000000000000e+03, 2.243811965511033160e-10, 1.181821502825886809e-09, 2.004139513436665534e-09, 7.530958464014397036e-10, 3.500061531425610734e-10
2.072000000000000000e+03, 3.467536272201807688e-10, 8.178069427095459103e-10, 1.640976636388994505e-09, 7.954310493753832390e-10, 3.474800138998104302e-10
2.073000000000000000e+03, 2.623257155327119161e-10, 1.081574885807336307e-09, 1.231432423245532451e-09, 8.156538541113904523e-10, 4.206626221025012741e-10
2.074000000000000000e+03, 5.061913455056437016e-10, 1.077056600637069230e-09, 9.198927914274339795e-10, 9.214245478361842445e-10, 3.459054242378501427e-10
2.075000000000000000e+03, 2.743810990245766035e-10, 1.334812101805401006e-09, 1.171389183738288191e-09, 7.076415852225148700e-10, 2.871723833150939181e-10
2.076000000000000000e+03, 3.183953923856003072e-10, 6.613645639304431084e-10, 2.309029288864389978e-09, 9.757138152840708525e-10, 2.359258381205752951e-10
2.077000000000000000e+03, 2.779438789797736717e-10, 1.827911963659159990e-09, 1.607971716850300945e-09, 7.132587666302239450e-10, 2.624268074097135342e-10
2.078000000000000000e+03, 2.535193911201448154e-10, 7.931660586260172139e-10, 1.973169257305492379e-09, 7.713743893824035953e-10, 3.472672545520694508e-10
2.079000000000000000e+03, 1.964520391643676104e-10, 1.338554738146913302e-09, 1.216491336918862830e-09, 6.913601089452976244e-10, 2.473816706352216909e-10
2.080000000000000000e+03, 2.835212725048572060e-10, 9.848301897865783221e-10, 9.100909836117490347e-10, 6.724102130666153311e-10, 3.429221607841834507e-10
2.081000000000000000e+03, 2.843912904001667623e-10, 9.462715419433557098e-10, 1.185613561369731831e-09, 8.045217437588720980e-10, 3.534727976290489364e-10
2.082000000000000000e+03, 2.825614884599846800e-10, 1.102395331788380737e-09, 1.146492564667131343e-09, 7.018243392477573602e-10, 2.988366097889571905e-10
2.083000000000000000e+03, 2.407884633451614292e-10, 8.334681698831870358e-10, 9.672459848803844585e-10, 6.815887305434056009e-10, 2.166663593497472771e-10
2.084000000000000000e+03, 3.902133435100777840e-10, 6.376024262331578568e-10, 1.078602167620481923e-09, 6.987055890938342474e-10, 1.829886185216735475e-10
2.085000000000000000e+03, 3.516583154160650177e-10, 7.495840856997752664e-10, 7.350804322295538388e-10, 9.076493292523205196e-10, 3.303896694382699301e-10
2.086000000000000000e+03, 2.403564678104533600e-10, 7.499042331909372969e-10, 9.493595391211132947e-10, 6.939976009654018129e-10, 2.637555080760109647e-10
2.087000000000000000e+03, 2.153779816241865624e-10, 6.725997260083204994e-10, 8.301826311205937273e-10, 5.263154965353960984e-10, 3.081390485841935690e-10
2.088000000000000000e+03, 2.912352161913239272e-10, 7.139717620565055738e-10, 6.625638937827012782e-10, 6.739179054010462771e-10, 2.178572052576750003e-10
