year, GFDL-ESM4, NorESM2-LM, TaiESM1, NorESM2-MM, CNRM-ESM2-1
1.943000000000000000e+03, 3.865667536175317596e-10, 2.316749234542613212e-10, 5.183738472256581734e-10, 2.843944258094931144e-10, 1.024232536292131917e-09
1.944000000000000000e+03, 2.202409858269737917e-10, 3.284913777679671287e-10, 5.634356209844874107e-10, 1.775782562037394417e-10, 6.421177871417790643e-10
1.945000000000000000e+03, 2.203562267043170541e-10, 3.324759189685777882e-10, 2.051684604451237402e-10, 4.927036257451150749e-10, 1.190215312501897145e-09
1.946000000000000000e+03, 7.258125434302267437e-10, 2.687033010698232195e-10, 3.232717948029310379e-10, 4.059937529535880333e-10, 7.896180869999891919e-10
1.947000000000000000e+03, 4.983383059741269272e-10, 2.705131658693674600e-10, 5.045117050884463839e-10, 3.570181214522023925e-10, 5.063954931778394179e-10
1.948000000000000000e+03, 2.762034767913039832e-10, 2.482660587720958106e-10, 6.901019838473122123e-10, 3.956863220935711771e-10, 4.914148563622339944e-10
1.949000000000000000e+03, 2.188079122675513122e-10, 5.783765539264376245e-10, 3.192566909669864210e-10, 4.767383933656091224e-10, 5.874193266051291060e-10
1.950000000000000000e+03, 2.692966551542003518e-10, 3.251392380417379964e-10, 1.924888100819272996e-10, 3.648933981929458004e-10, 1.385612314354790033e-09
1.951000000000000000e+03, 1.562229626243644778e-10, 3.416879877960219527e-10, 4.796393819775678209e-10, 3.990667278119220018e-10, 5.906303045306897431e-10
1.952000000000000000e+03, 3.249099265161356687e-10, 2.398269847904807328e-10, 2.219124592431815782e-10, 2.904334526885055419e-10, 1.014615026220902065e-09
1.953000000000000000e+03, 1.929972530755486445e-10, 1.814562494609310796e-10, 1.914601369712668721e-10, 5.020032310213423802e-10, 6.003528849424227797e-10
1.954000000000000000e+03, 1.864338639194842592e-10, 3.974023760045666773e-10, 2.923553088359050075e-10, 4.545254885440785772e-10, 1.258906394461763829e-09
1.955000000000000000e+03, 1.201366643872106876e-10, 3.859027809217555926e-10, 4.955143892854037265e-10, 4.067724208698109252e-10, 7.816255239773581999e-10
1.956000000000000000e+03, 2.136229618434447716e-10, 2.075133773455778817e-10, 4.872401227978910470e-10, 1.941164231377176175e-10, 1.186274562207438507e-09
1.957000000000000000e+03, 3.007055387985102586e-10, 2.309144111435025504e-10, 2.290149007943122847e-10, 1.697479913636132352e-10, 1.053172638587083870e-09
1.958000000000000000e+03, 2.663205465177910327e-10, 3.213860460175343871e-10, 1.467954004099890272e-10, 3.597756456070569015e-10, 5.997052587824731343e-10
1.959000000000000000e+03, 1.847375623941167959e-10, 2.806249107527952199e-10, 2.369746072163347561e-10, 4.722695623737031988e-10, 1.165895166148034196e-09
1.960000000000000000e+03, 1.098502604901192427e-10, 1.432864908739646104e-10, 3.226018656638002278e-10, 4.399227296297628277e-10, 7.667882393571592892e-10
1.961000000000000000e+03, 1.780101505062545265e-10, 3.759068772107287307e-10, 3.297281151752702522e-10, 2.575932588714862085e-10, 8.583024775140018385e-10
1.962000000000000000e+03, 2.100076808809462784e-10, 2.822417406497348572e-10, 2.557695249981965295e-10, 4.309005178709310619e-10, 7.392875141048245536e-10
1.963000000000000000e+03, 1.393214857300053352e-10, 3.136647513574331584e-10, 1.554859769753886837e-10, 3.264641010434155940e-10, 1.204799872469780835e-09
1.964000000000000000e+03, 1.768915886232698980e-10, 4.426585660378871070e-10, 3.371729601035019952e-10, 4.389496564646895199e-10, 6.969780338012815378e-10
1.965000000000000000e+03, 4.433278798372802609e-10, 2.573166685888845206e-10, 2.457662379172681686e-10, 2.762602550935399452e-10, 1.090271323561613367e-09
1.966000000000000000e+03, 2.457630906678155820e-10, 3.929571742786260600e-10, 1.604165711199932155e-10, 2.072500966053243734e-10, 8.271665748275253899e-10
1.967000000000000000e+03, 1.806090576441204270e-10, 3.086529550032208812e-10, 3.667375982497632968e-10, 1.087466959202190293e-10, 8.072864955498603612e-10
1.968000000000000000e+03, 2.367961500728085535e-10, 8.913691888812431374e-11, 4.852589297251181915e-10, 1.369897952647677458e-10, 1.167442974525475196e-09
1.969000000000000000e+03, 2.373231964218299793e-10, 3.180073264314134021e-10, 1.456297801997252868e-10, 1.631203875882496979e-10, 6.818467098406908079e-10
1.970000000000000000e+03, 2.124361496990583865e-10, 3.276184794721799319e-10, 3.357151770810374948e-10, 2.140759528854818418e-10, 1.357534790745958716e-09
