year, EC-Earth3-Veg, TaiESM1, CESM2-WACCM, NorESM2-LM, CMCC-ESM2, CNRM-ESM2-1, MPI-ESM1-2-LR, IPSL-CM6A-LR, UKESM1-0-LL, NorESM2-MM
1.924000000000000000e+03, 1.311987633995202871e-10, 5.063578026881267640e-11, 7.914030629332949593e-11, 6.771033502759479450e-11, 3.328930341697579542e-11, 5.378127521475436897e-11, 1.732059266073891686e-11, 4.263775177355350624e-11, 6.324381570582132410e-13, 9.141205864436533147e-11
1.925000000000000000e+03, 1.314222533403033951e-10, 5.319119288508102835e-11, 7.848726969854650399e-11, 6.764667819603681821e-11, 3.215045887580939710e-11, 5.531854266240145989e-11, 1.754833876644308962e-11, 4.296460359450958966e-11, 5.990747352110429133e-13, 9.681785218215522208e-11
1.926000000000000000e+03, 1.295349598784438812e-10, 5.385720110734173058e-11, 7.918964379515831274e-11, 7.061450635285279174e-11, 3.135718562644829177e-11, 6.693391962372794343e-11, 1.774667344668868688e-11, 4.309386132168364094e-11, 5.745379157516183113e-13, 9.736170415807664664e-11
1.927000000000000000e+03, 1.276974345321283263e-10, 5.340082947697573307e-11, 8.007627555664127806e-11, 7.074893403914493290e-11, 3.288544616324174513e-11, 7.027673264802559853e-11, 1.778044216372915662e-11, 4.338500147914806749e-11, 6.329947046779549612e-13, 9.119033566160214076e-11
1.928000000000000000e+03, 1.345867488348182109e-10, 5.196268879752961410e-11, 8.069820562757675527e-11, 7.190739441127162381e-11, 3.204188228680163953e-11, 7.350958814025530483e-11, 1.768295987860585229e-11, 4.197551246432027288e-11, 5.674301999603203225e-13, 9.351368517236152083e-11
1.929000000000000000e+03, 1.235287948089422371e-10, 5.406733873909944358e-11, 8.083010462813558817e-11, 7.240379402781302670e-11, 3.263599358038883754e-11, 7.650157417542918630e-11, 1.754119250730528287e-11, 4.230832420937259208e-11, 4.352514217553940972e-13, 1.010344331941279990e-10
1.930000000000000000e+03, 1.280940864791369127e-10, 5.241353830514823669e-11, 8.214063276687581444e-11, 7.083987525897191934e-11, 3.201462679602665392e-11, 7.873004526023685226e-11, 1.831552435821537769e-11, 4.215670150109335056e-11, 3.548416803584151088e-13, 1.109351339276090843e-10
1.931000000000000000e+03, 1.330666498633678871e-10, 5.107423763717544321e-11, 8.015072107940646807e-11, 7.070158575359240483e-11, 3.118428404039703933e-11, 8.889786626207309423e-11, 1.937459450901361863e-11, 4.121384962106959388e-11, 4.027906861669965105e-13, 9.471967010168340028e-11
1.932000000000000000e+03, 1.330909701110362861e-10, 5.193129042266793833e-11, 7.938315886439500508e-11, 7.526139394778131310e-11, 3.055378475414254899e-11, 9.541849543583552801e-11, 1.966508025437253507e-11, 4.116278332980482714e-11, 5.297135108070605532e-13, 9.144932898717369732e-11
1.933000000000000000e+03, 1.248446165283301650e-10, 5.337900542453352602e-11, 7.934971941089337628e-11, 7.069422937297879691e-11, 3.336675371968644004e-11, 1.021639580608296050e-10, 1.998061608429011018e-11, 4.093461933382326208e-11, 5.205725050220455390e-13, 1.011512653111880939e-10
1.934000000000000000e+03, 1.262247861417974864e-10, 5.189445543550196622e-11, 7.991699603583689379e-11, 7.450625199905348996e-11, 3.180845447126233754e-11, 1.044606307155835134e-10, 1.987499062563496398e-11, 4.078836368279147449e-11, 5.377971090559367255e-13, 9.778546184826340690e-11
1.935000000000000000e+03, 1.138569802964710278e-10, 5.257690907488930749e-11, 8.071115912343181528e-11, 8.259189951955395233e-11, 3.093087874857977780e-11, 1.060290358747391808e-10, 1.956352759964477013e-11, 4.070636118367963657e-11, 5.453523228630375766e-13, 9.772583136379308867e-11
1.936000000000000000e+03, 1.152249889337404241e-10, 5.184131329483304624e-11, 7.935545980616331698e-11, 6.756583418202317929e-11, 3.088729363014620747e-11, 1.003622820997522711e-10, 1.941229741543490801e-11, 4.062134584763623851e-11, 4.613684455552924976e-13, 9.897389990527946825e-11
1.937000000000000000e+03, 1.252867878693596129e-10, 5.108944259008049164e-11, 7.971005867858358327e-11, 7.825052855651462667e-11, 3.058757481608699264e-11, 1.003394154676094696e-10, 1.945277160139691927e-11, 4.066374927862644247e-11, 4.617865627831007765e-13, 1.022482888363371816e-10
1.938000000000000000e+03, 1.273130389062404225e-10, 5.203572251081923622e-11, 8.070690051040160480e-11, 7.135848819764978538e-11, 3.131556699911988781e-11, 1.045229234922096411e-10, 1.945980807893561525e-11, 4.060340624692130566e-11, 4.711979214684508905e-13, 1.002799709077677375e-10
