year, UKESM1-0-LL, INM-CM4-8, CanESM5, MPI-ESM1-2-LR, IPSL-CM6A-LR, MIROC-ES2L, CESM2-WACCM, TaiESM1, NorESM2-MM, NorESM2-LM, EC-Earth3-Veg, INM-CM5-0, GFDL-ESM4, ACCESS-ESM1-5, CNRM-ESM2-1, CMCC-CM2-SR5
1.892000000000000000e+03, 1.287202050422234567e+00, 2.153645612591043257e+00, 1.812865218906272391e+00, 9.700779831096723038e-01, 1.982417207440655416e+00, 1.518915933917960981e+00, 2.582774204137941343e+00, 1.986920136995065977e+00, 2.024767857432999918e+00, 1.545531024706760626e+00, 1.304590298221184774e+00, 1.753593521219309892e+00, 1.197739128477372850e+00, 2.018341860777733920e+00, 1.451573145411684918e+00, 2.228838435138743801e+00
1.893000000000000000e+03, 1.786720063872961450e+00, 2.151798418230506993e+00, 2.450364021859077646e+00, 7.666970722792000315e-01, 2.852625658744849524e+00, 2.094947415499750498e+00, 1.868407469107827401e+00, 2.384720328850287618e+00, 1.885719201112916688e+00, 2.317776508739665342e+00, 1.382207824248241179e+00, 1.896945617156493347e+00, 1.234367217437702724e+00, 1.860430768824917536e+00, 1.137921363050537815e+00, 1.988401467955852819e+00
1.894000000000000000e+03, 1.220419196248201832e+00, 2.435637078523189558e+00, 2.079549073670359238e+00, 1.339722654147109449e+00, 2.512135938648643041e+00, 2.193457678606056671e+00, 1.525818085302880878e+00, 1.807002197253595011e+00, 2.253701176380485727e+00, 1.706836437529950068e+00, 1.871305476575853000e+00, 1.895720634899107582e+00, 1.420395519060924983e+00, 2.557066806417224392e+00, 9.718463986043370806e-01, 1.800948504716350040e+00
1.895000000000000000e+03, 1.445272926874461294e+00, 2.328232817735698568e+00, 2.099492011375465594e+00, 1.277708694108317111e+00, 2.290213060987236648e+00, 2.299533770659206944e+00, 1.654586041027301002e+00, 1.854622404063777985e+00, 1.606220287412583714e+00, 1.953464370139902151e+00, 1.717656377634633857e+00, 2.415569115722671967e+00, 1.273729598909087990e+00, 1.979109157992639201e+00, 1.148442268859515503e+00, 2.081491675329992574e+00
1.896000000000000000e+03, 1.311301984015429412e+00, 2.789737159811778167e+00, 1.892586674054923979e+00, 1.054440344600934054e+00, 2.437044260577270638e+00, 2.158977110190718030e+00, 1.443813649480684358e+00, 2.704239358630468271e+00, 2.028699656269260743e+00, 2.270980216986514311e+00, 1.202665443068617668e+00, 2.035562049904346971e+00, 1.851732061514869354e+00, 1.949690418894801880e+00, 1.645677662070399450e+00, 2.663558214222064624e+00
1.897000000000000000e+03, 1.007816212588469318e+00, 2.115076968466407692e+00, 2.047700919319015878e+00, 8.200030672486884331e-01, 2.513595968877052389e+00, 1.715017645677733737e+00, 1.703812420807996997e+00, 2.134031266860179965e+00, 2.026307914194387383e+00, 1.695622053013882580e+00, 1.512279606507819896e+00, 1.902202852666544652e+00, 1.655637698835668248e+00, 1.665897416408139042e+00, 1.075145616977536189e+00, 3.038940822083464610e+00
1.898000000000000000e+03, 1.465051619998717136e+00, 2.242394371103466177e+00, 2.025535263308407607e+00, 1.304011779688595940e+00, 2.526808812251919001e+00, 1.894866053866856470e+00, 1.439534205440827330e+00, 2.057053623475986193e+00, 1.493982535334905215e+00, 2.098061409746330153e+00, 1.606845832017398168e+00, 2.153872817792074290e+00, 1.722772683381291303e+00, 1.662299687644796409e+00, 1.200787119316652829e+00, 3.041851830657297473e+00
1.899000000000000000e+03, 1.519642829027663788e+00, 2.401342132351432568e+00, 2.197760535575857599e+00, 1.279439908734171238e+00, 1.776242646826907245e+00, 1.992748675043362727e+00, 1.448167000236769697e+00, 1.706466001049745218e+00, 1.918762338778019716e+00, 1.777990702642337384e+00, 1.790469667744462257e+00, 2.132742115318299270e+00, 1.476122461285581888e+00, 1.138988548407489532e+00, 1.498314815750340756e+00, 2.773333873205366729e+00
1.900000000000000000e+03, 1.374676517010493981e+00, 2.214575159398155968e+00, 1.795951153267147715e+00, 8.751367700339339750e-01, 2.070053483096677027e+00, 2.121156378340009141e+00, 1.567370731207762047e+00, 2.048891901576706864e+00, 1.780869508587058059e+00, 2.137345373694386819e+00, 1.475225967554630868e+00, 2.444063279426127888e+00, 1.028239081382494202e+00, 1.568595307921481607e+00, 1.254990890943761483e+00, 2.158666243011357011e+00
1.901000000000000000e+03, 1.606708148893557286e+00, 2.568248722935224215e+00, 1.883699865231196924e+00, 1.062042031926227370e+00, 2.001704962812327793e+00, 2.063384538914010413e+00, 1.432169169406784404e+00, 1.769668935284437694e+00, 1.756285098652695664e+00, 2.061475623547737168e+00, 1.733988087847855741e+00, 2.001343232708641118e+00, 1.979244384639987198e+00, 1.582668895708326362e+00, 1.448980304672329522e+00, 1.985230707882522649e+00
