year, CMCC-ESM2, CNRM-ESM2-1, UKESM1-0-LL, CanESM5, MPI-ESM1-2-LR, GFDL-ESM4, MIROC-ES2L, CESM2-WACCM
1.901000000000000000e+03, 4.589475431961499453e-10, 4.704853389601828079e-11, 5.772393098190198007e-10, -4.332948608658707431e-10, -3.820234157113677302e-10, 1.560718755445955092e-09, -2.407484304514058510e-12, -1.753871840118244994e-11
1.902000000000000000e+03, 5.354270026772759894e-10, 2.053259713889308684e-09, 1.068223274933834307e-09, -1.626249531759187155e-09, -4.286528185964353487e-10, 2.089471654175403348e-09, -5.939168647436150030e-10, 5.275836472136029988e-10
1.903000000000000000e+03, -2.372351750748270810e-10, -1.396418854200420532e-09, -1.123005824701854686e-09, -4.938792210876211106e-10, 1.608820362018122361e-09, -1.089217818450169482e-09, 2.026823779390550201e-10, 1.043497828619701073e-10
1.904000000000000000e+03, -1.816881449601045500e-09, 2.086657982195852686e-09, 6.065477274943368099e-10, 4.857012288540516766e-10, -7.571427775753740929e-10, -1.813151523095318577e-09, -7.250693136811825988e-12, -5.690515077681198001e-10
1.905000000000000000e+03, -4.967650264165113317e-10, 7.679324301779967810e-10, 2.322015912214920824e-11, 9.493203036594406999e-10, 1.990640202603879033e-10, -6.863631339643757691e-10, 3.977273497349346915e-10, 2.216641353182973704e-10
1.906000000000000000e+03, 5.461264155069489189e-10, -9.244827162808018008e-10, 6.068532453494151618e-10, -1.049281313007618743e-09, 6.361109835654742569e-10, 1.748280285776340038e-09, 3.594660368253520392e-10, -3.352762232903104633e-10
1.907000000000000000e+03, 1.624157868403232597e-09, -4.703925245507373690e-10, -1.216822881572355108e-09, -1.217036036799394715e-09, 6.811797566343062968e-10, -3.532840182951066354e-10, -4.943315134080105869e-10, 1.702924570007885914e-10
1.908000000000000000e+03, -9.813800441882025380e-10, -3.190586661079391343e-10, -5.866799360180612290e-10, -1.488083058832808531e-09, -6.458010427085799241e-10, -7.012537086667338658e-10, -2.683719407604915877e-10, 3.044273645102116251e-10
1.909000000000000000e+03, -4.626233818909008759e-10, -4.055789797716511722e-10, 9.919916924176699338e-10, -1.275739567487433284e-10, 1.103030692206128576e-09, 4.241663819855363716e-10, 1.064520383975761463e-10, 1.450044391992904054e-11
1.910000000000000000e+03, 4.124715257235215369e-10, 8.846947983979642064e-10, -1.773774376857909142e-10, -1.099811999397808964e-09, -3.382408820056747095e-10, -1.135608330767615311e-09, 2.421628703891036305e-11, -4.259744335268245048e-10
1.911000000000000000e+03, -1.110135570944083328e-09, -6.656601941885106883e-10, 3.603701530284317451e-10, -9.196719861656322563e-13, -1.744870713445407121e-10, -2.550038718285791845e-10, -1.078963158469756170e-09, 5.873465546109906853e-11
1.912000000000000000e+03, 9.266495580433959794e-10, -4.571610288735785174e-10, 3.920204640318537853e-11, -1.310673887964812000e-09, -8.467839145451916074e-10, 1.726566808974053078e-09, -1.144640568421032715e-09, -2.791827457348534724e-11
1.913000000000000000e+03, 1.051452703248699491e-09, 7.995091719092938303e-10, -2.537107494365135827e-10, 2.255306750418946237e-09, -9.803721732463702951e-11, 1.797627075142912846e-09, -6.759802052940440544e-10, -5.154864596542995670e-11
