year, ACCESS-ESM1-5, MPI-ESM1-2-LR, CanESM5, CNRM-ESM2-1, INM-CM5-0, NorESM2-LM, IPSL-CM6A-LR, TaiESM1, UKESM1-0-LL, EC-Earth3-Veg, GFDL-ESM4, CMCC-CM2-SR5, NorESM2-MM, INM-CM4-8, MIROC-ES2L, CESM2-WACCM
1.886000000000000000e+03, 2.953021608566736518e+02, 2.942239994606549089e+02, 2.936529367888373940e+02, 2.949291790665578219e+02, 2.931847561519962255e+02, 2.949707248486607796e+02, 2.929200438844177938e+02, 2.941998859201958680e+02, 2.935845549047117515e+02, 2.948784182907035074e+02, 2.934780706949425166e+02, 2.951699291706955250e+02, 2.941558171126825414e+02, 2.929294090080933870e+02, 2.956151813436966336e+02, 2.947616626154992332e+02
1.887000000000000000e+03, 2.950301407905189421e+02, 2.944729832617833267e+02, 2.944296532091833001e+02, 2.953815080132231401e+02, 2.929336484664510749e+02, 2.952155726617405662e+02, 2.924901039071560831e+02, 2.944088864810369728e+02, 2.930216222016683218e+02, 2.950150164637527155e+02, 2.935721591639902499e+02, 2.941087803012819109e+02, 2.944079275797942046e+02, 2.933385496479632479e+02, 2.957295538718842067e+02, 2.940655206849819479e+02
1.888000000000000000e+03, 2.952770330156590148e+02, 2.951326203812054700e+02, 2.938998562859401886e+02, 2.948402627812810124e+02, 2.925786694867454685e+02, 2.952425915638792162e+02, 2.927158243151502006e+02, 2.955854528728377204e+02, 2.938224239472417025e+02, 2.946571406483102464e+02, 2.949537805909633903e+02, 2.941827705662465746e+02, 2.945912101976237523e+02, 2.934649858069150810e+02, 2.954451948236593353e+02, 2.947499916502290489e+02
1.889000000000000000e+03, 2.947182424509941825e+02, 2.947536986426307521e+02, 2.939537121330018294e+02, 2.939878846066517895e+02, 2.932864808816557343e+02, 2.950519072626172488e+02, 2.923836625952828285e+02, 2.953706448022645645e+02, 2.932640248218867782e+02, 2.945684243568060765e+02, 2.939660420799777398e+02, 2.938186741458607685e+02, 2.943013504053174643e+02, 2.932553420942211346e+02, 2.956616412024176839e+02, 2.940201012163610699e+02
1.890000000000000000e+03, 2.960749762734826618e+02, 2.954806201861748605e+02, 2.945047626267152054e+02, 2.952237622339323480e+02, 2.932375050322652896e+02, 2.956473401831459569e+02, 2.931236326503891974e+02, 2.943565869997620439e+02, 2.931355155248695610e+02, 2.945569805188054033e+02, 2.937039380840293461e+02, 2.937633375059323271e+02, 2.946404260348145954e+02, 2.933189526968764653e+02, 2.958593018106071781e+02, 2.940705599255738889e+02
1.891000000000000000e+03, 2.949453930627654472e+02, 2.950685219148418810e+02, 2.939097047759875636e+02, 2.949713529528842741e+02, 2.930222903860545784e+02, 2.952104203400370466e+02, 2.933485134404364771e+02, 2.951845805101875158e+02, 2.944552200364516921e+02, 2.940660633730550444e+02, 2.941303790317657558e+02, 2.940575095124255540e+02, 2.947566284348583281e+02, 2.938009861738325412e+02, 2.954177690379445949e+02, 2.942853453336159077e+02
1.892000000000000000e+03, 2.944164124023767499e+02, 2.947907680542120943e+02, 2.943676907159835991e+02, 2.943610571873070398e+02, 2.936558747844486561e+02, 2.950118070164422193e+02, 2.934108537197366786e+02, 2.952956123404082973e+02, 2.937077436155924488e+02, 2.945070795436263325e+02, 2.948423500947009757e+02, 2.943474771017120020e+02, 2.946177159126004881e+02, 2.934267493851754125e+02, 2.968927552904253275e+02, 2.945438194370756833e+02
1.893000000000000000e+03, 2.948013515008959757e+02, 2.956610339227922850e+02, 2.938088204427593837e+02, 2.953183241374014187e+02, 2.933151198169189229e+02, 2.952107521550710771e+02, 2.927070145602748994e+02, 2.945498183539330057e+02, 2.931517662732843519e+02, 2.947654010250030865e+02, 2.946504896672166751e+02, 2.951682480959888153e+02, 2.943452860543256406e+02, 2.934618588506643277e+02, 2.961640332052715507e+02, 2.948073742596763509e+02
1.894000000000000000e+03, 2.946584863356001165e+02, 2.947845843458227932e+02, 2.942336630534237543e+02, 2.954199454990779259e+02, 2.930380773514796715e+02, 2.951225532142719317e+02, 2.925856070388418289e+02, 2.946464399823103122e+02, 2.934307397660751917e+02, 2.943696894798782182e+02, 2.945769348477653011e+02, 2.954012522612241582e+02, 2.940134213921551805e+02, 2.937742015564448366e+02, 2.958410441064202132e+02, 2.945609850865515114e+02
1.895000000000000000e+03, 2.944538262591887019e+02, 2.939693353723120595e+02, 2.942256851480254340e+02, 2.953166914350696857e+02, 2.929949019711503979e+02, 2.957639840805359199e+02, 2.929332589956773063e+02, 2.960057758096250495e+02, 2.937955649587034941e+02, 2.943691242179331198e+02, 2.952753823560998399e+02, 2.948799977526130078e+02, 2.944177213401278550e+02, 2.936296210549253374e+02, 2.957800154934158741e+02, 2.943374014750037304e+02
