year, TaiESM1, EC-Earth3-Veg, INM-CM4-8, GFDL-ESM4, CMCC-CM2-SR5, NorESM2-LM, ACCESS-ESM1-5, UKESM1-0-LL, CNRM-ESM2-1, MPI-ESM1-2-LR, CESM2-WACCM, MIROC-ES2L, INM-CM5-0, CanESM5, IPSL-CM6A-LR, NorESM2-MM
1.880000000000000000e+03, 1.850502413903212684e+01, 1.228511862070107163e+01, 6.461048878628426451e+01, 8.610145653263982979e+01, 3.620690340970087107e+01, 4.805752580998100143e+01, 5.642152125354323289e+01, 4.245131210061091309e+01, 4.683253292407620449e+01, 2.847692474502850501e+01, 5.682750044749334251e+01, 4.105341718209042057e+01, 6.422565387900263545e+01, 3.885506838507777871e+01, 1.196545167950458755e+01, 5.148365345008129879e+01
1.881000000000000000e+03, 1.852137578696722287e+01, 1.229845945043221889e+01, 6.454678225249379864e+01, 8.606732011854273878e+01, 3.625877113049568834e+01, 4.809286338543859074e+01, 5.641191317558000407e+01, 4.230615723113599813e+01, 4.692225807198076382e+01, 2.846284594799054801e+01, 5.688303043219057997e+01, 4.112796535575712653e+01, 6.425553429259964844e+01, 3.887310925161039421e+01, 1.195541777073600365e+01, 5.143563424615521740e+01
1.882000000000000000e+03, 1.858492783411326599e+01, 1.225598759053437803e+01, 6.456624851619429251e+01, 8.608084888551532288e+01, 3.642490185796846447e+01, 4.800339977776377509e+01, 5.643168638300413420e+01, 4.217822884267418715e+01, 4.681963625815511421e+01, 2.843059752493161341e+01, 5.709845500795402984e+01, 4.132303444503920531e+01, 6.423597603522730992e+01, 3.896137379327333861e+01, 1.195312517295579546e+01, 5.148622273121711146e+01
1.883000000000000000e+03, 1.857668973696575776e+01, 1.241091083430187858e+01, 6.459411870722315996e+01, 8.624077779832346380e+01, 3.648861045087711119e+01, 4.798584957737618595e+01, 5.646115539271359296e+01, 4.218280992120885031e+01, 4.688142988362792352e+01, 2.842820413093982879e+01, 5.721030921571853867e+01, 4.125990238226221862e+01, 6.424284133157512144e+01, 3.895390570095698024e+01, 1.196620702751573440e+01, 5.150899791170280650e+01
1.884000000000000000e+03, 1.854844945630521735e+01, 1.251808387670412692e+01, 6.454023095037879898e+01, 8.627922342410346346e+01, 3.640532817680470856e+01, 4.809844491544132694e+01, 5.650865045713100443e+01, 4.217379559811249834e+01, 4.691936717228164611e+01, 2.838239619722378393e+01, 5.719523658027832624e+01, 4.120788503445929507e+01, 6.422583701855010929e+01, 3.891833944328114825e+01, 1.193990146495566051e+01, 5.151057939333954749e+01
1.885000000000000000e+03, 1.853491184365728728e+01, 1.257397151669345092e+01, 6.452520889999576070e+01, 8.614581397109090233e+01, 3.636720556385832026e+01, 4.813160093548186325e+01, 5.650308230303087242e+01, 4.217399514769565627e+01, 4.688917117680472302e+01, 2.838346714547230576e+01, 5.718800844625057067e+01, 4.109814465742719136e+01, 6.420551571948192304e+01, 3.891002945835858640e+01, 1.194282736960446911e+01, 5.140341175109923455e+01
1.886000000000000000e+03, 1.858263751959263743e+01, 1.256112195036535972e+01, 6.453427533329960397e+01, 8.614145046968229735e+01, 3.649929358080025565e+01, 4.814571715586338740e+01, 5.651071754635919575e+01, 4.216005381867405077e+01, 4.678669121900465200e+01, 2.830539801887926288e+01, 5.712459778776657515e+01, 4.097111976854873916e+01, 6.419170969210269106e+01, 3.879466914182850701e+01, 1.192523019639571302e+01, 5.136314624853695676e+01
1.887000000000000000e+03, 1.858287377593876855e+01, 1.242097738950807262e+01, 6.449402979962414406e+01, 8.630226267557513609e+01, 3.655559274189096897e+01, 4.806238831250215782e+01, 5.651381432299408658e+01, 4.216854341367684356e+01, 4.675767494586048656e+01, 2.825698122189685435e+01, 5.707278210754292758e+01, 4.079739239344542767e+01, 6.421778018193087689e+01, 3.876994581296396802e+01, 1.192596587179310852e+01, 5.141155543099448977e+01
1.888000000000000000e+03, 1.856058790415872295e+01, 1.233458258986066269e+01, 6.448242207813694904e+01, 8.635781056031528635e+01, 3.644630989611528094e+01, 4.785524719932232784e+01, 5.646820831468223645e+01, 4.213979898980934991e+01, 4.675969010647484225e+01, 2.821871694958403864e+01, 5.696254555175224965e+01, 4.069567642631116655e+01, 6.420226009392479227e+01, 3.892943690509905963e+01, 1.194061536237152232e+01, 5.138414621927513792e+01
1.889000000000000000e+03, 1.851337903174221466e+01, 1.223332469121092103e+01, 6.445094912262368325e+01, 8.634043379554735509e+01, 3.648667268411405473e+01, 4.775211829267831831e+01, 5.646983793814214181e+01, 4.220803721035933620e+01, 4.675911023594547089e+01, 2.818998866349407706e+01, 5.692590944533309738e+01, 4.072047982629350571e+01, 6.426642581069008031e+01, 3.901973761628192960e+01, 1.194536469005921830e+01, 5.137748452024469259e+01
1.890000000000000000e+03, 1.843400463518050714e+01, 1.216089116174073759e+01, 6.442502855450760535e+01, 8.630148015031763009e+01, 3.645765768549864561e+01, 4.774079466369396130e+01, 5.650540065208610230e+01, 4.225681915282425649e+01, 4.680616609097477721e+01, 2.822745175322198818e+01, 5.686221120475147472e+01, 4.052389432273138681e+01, 6.425936690528507711e+01, 3.899103135134327403e+01, 1.196985490554466836e+01, 5.133377348926910599e+01
1.891000000000000000e+03, 1.837797285918691514e+01, 1.221182621448323324e+01, 6.443489412377765291e+01, 8.620735626293404152e+01, 3.635721622147660526e+01, 4.769196939267538937e+01, 5.653200540032029409e+01, 4.216195572654961410e+01, 4.679667744144953900e+01, 2.819507608795963094e+01, 5.678753543723462371e+01, 4.027385940696077427e+01, 6.425771387316439132e+01, 3.887737517725521030e+01, 1.193767820046426031e+01, 5.104291441540375018e+01
1.892000000000000000e+03, 1.836562446912090252e+01, 1.225487805417616904e+01, 6.438487108882098653e+01, 8.615618149502458323e+01, 3.632704851700663795e+01, 4.769215571292951239e+01, 5.654946684732793472e+01, 4.221107373523220474e+01, 4.678273743087030567e+01, 2.814240039701788731e+01, 5.667421659416826429e+01, 4.027173690796193029e+01, 6.423286896479262964e+01, 3.883114176281892327e+01, 1.195904464179886340e+01, 5.081125372733252021e+01
1.893000000000000000e+03, 1.841726343157974100e+01, 1.219513903069005956e+01, 6.435672224796151397e+01, 8.614918848690287234e+01, 3.621009610148097835e+01, 4.782963453036176560e+01, 5.653107107415095811e+01, 4.218647799409329480e+01, 4.680875896570333339e+01, 2.825702771731897300e+01, 5.649345833986532739e+01, 4.045229845443723349e+01, 6.430671582849228685e+01, 3.887411836597689785e+01, 1.201054938452242737e+01, 5.074140797032018924e+01
1.894000000000000000e+03, 1.845216182058557663e+01, 1.216453143598968367e+01, 6.432949931619407380e+01, 8.621040098480213487e+01, 3.630992124357875639e+01, 4.810262248484810499e+01, 5.651828000213375702e+01, 4.202179672279788747e+01, 4.689005122902330669e+01, 2.823660844203374509e+01, 5.645230236141946989e+01, 4.046194515942203651e+01, 6.438231780726711406e+01, 3.891064569273945040e+01, 1.204375131792409093e+01, 5.068191274977191796e+01
1.895000000000000000e+03, 1.836585042797324263e+01, 1.234419477897351314e+01, 6.425906200313231409e+01, 8.613923000839363908e+01, 3.659868860876354546e+01, 4.820245521034320291e+01, 5.651585029342824384e+01, 4.191878151483518877e+01, 4.686666071976557646e+01, 2.824342689459329847e+01, 5.651949566434340966e+01, 4.046813117111765479e+01, 6.442435774025616979e+01, 3.887197119471368012e+01, 1.205982268514115674e+01, 5.063140154070641330e+01
1.896000000000000000e+03, 1.834088410511103717e+01, 1.237580538132905872e+01, 6.422868574458958335e+01, 8.621298356406713026e+01, 3.659771143593986409e+01, 4.820602040375853647e+01, 5.649890201945209611e+01, 4.192542424898933717e+01, 4.686783704724800259e+01, 2.814730761364347700e+01, 5.668907825999365713e+01, 4.037118846483575396e+01, 6.448205326538440829e+01, 3.895327671456985996e+01, 1.208598916680523239e+01, 5.070456452182635587e+01
1.897000000000000000e+03, 1.834003577738070234e+01, 1.249268198828653809e+01, 6.429366291356181762e+01, 8.635137456514715382e+01, 3.660341675772387759e+01, 4.821912037773889637e+01, 5.648772225364069755e+01, 4.192898113266424787e+01, 4.684570861678730580e+01, 2.820761410274797854e+01, 5.678544532537079448e+01, 4.026253935626618841e+01, 6.450646570682683034e+01, 3.911268538116903670e+01, 1.212681644388282542e+01, 5.103285731450623786e+01
1.898000000000000000e+03, 1.828723746130958716e+01, 1.255448907604657371e+01, 6.434977262478837190e+01, 8.651420568109662668e+01, 3.661967535671320917e+01, 4.833345109289088981e+01, 5.650672616317834240e+01, 4.196606230009832927e+01, 4.678622484739050691e+01, 2.821848167162423238e+01, 5.677842046770501128e+01, 4.036024686709132681e+01, 6.448839921628321292e+01, 3.923626993919361183e+01, 1.210970062480177312e+01, 5.117749213360163907e+01
1.899000000000000000e+03, 1.825941678812691649e+01, 1.257782824153445489e+01, 6.432208896057194636e+01, 8.676675624544579080e+01, 3.664608221824004630e+01, 4.835126960930447382e+01, 5.651399740064795907e+01, 4.194334862673242270e+01, 4.678116590656459550e+01, 2.824530757720886953e+01, 5.677378369114876477e+01, 4.050218572093164937e+01, 6.450552547002203596e+01, 3.935907044210212291e+01, 1.211671137330537640e+01, 5.114693757461737533e+01
1.900000000000000000e+03, 1.826764470724309319e+01, 1.259533177269097592e+01, 6.439817887816806774e+01, 8.697434470879277058e+01, 3.662168514247353812e+01, 4.826541808821961865e+01, 5.649998285188468827e+01, 4.190806575828636937e+01, 4.682148011322831138e+01, 2.819714072453614406e+01, 5.662795343677290560e+01, 4.039144568470760532e+01, 6.453554313074766924e+01, 3.940525374258639602e+01, 1.212210405913354450e+01, 5.108316129635799996e+01
1.901000000000000000e+03, 1.826347825337111530e+01, 1.257228645603849593e+01, 6.436142102497035467e+01, 8.713528707529580686e+01, 3.667595439178917616e+01, 4.828095323855126964e+01, 5.647115232414015651e+01, 4.179289430802013783e+01, 4.690453051837419451e+01, 2.823818968465952395e+01, 5.648196107809341271e+01, 4.031947823021491217e+01, 6.448114341102717617e+01, 3.938192663759679846e+01, 1.209430279363513527e+01, 5.113890560421663878e+01
