year, TaiESM1, CNRM-ESM2-1, MIROC-ES2L, INM-CM5-0, EC-Earth3-Veg, UKESM1-0-LL, CESM2-WACCM, CMCC-CM2-SR5, IPSL-CM6A-LR, NorESM2-MM, CanESM5, GFDL-ESM4, ACCESS-ESM1-5, INM-CM4-8, NorESM2-LM, MPI-ESM1-2-LR
2.052000000000000000e+03, 2.155379973156354989e+00, 2.310645374171232724e+00, 2.349598662819225581e+00, 2.340168140828411847e+00, 2.315492856386728082e+00, 2.365216803519509803e+00, 2.120671236294964679e+00, 2.227631065940524735e+00, 2.838511197541101705e+00, 2.015274498134611569e+00, 2.406614716723675329e+00, 2.403113982725630038e+00, 2.279148652897553529e+00, 2.184684977499663283e+00, 2.085481140715636172e+00, 2.283933949170004141e+00
2.053000000000000000e+03, 2.159889013580318817e+00, 2.286172534907886966e+00, 2.316398270895966505e+00, 2.354743280508072800e+00, 2.309468749375724439e+00, 2.238562231040856165e+00, 1.956318822883359676e+00, 2.381844870520153368e+00, 2.743687951481841747e+00, 2.010308953542792931e+00, 2.343512045451738857e+00, 2.397347094122454170e+00, 2.511787045779808825e+00, 2.073221260381552966e+00, 2.097758870948763565e+00, 2.184396022946177407e+00
2.054000000000000000e+03, 2.096483464384721440e+00, 2.414436050586080462e+00, 2.412991642668402381e+00, 2.387107943422228207e+00, 2.229745639904479937e+00, 2.196728017097113739e+00, 1.968484553680610816e+00, 2.350693798742597540e+00, 2.645713394540067487e+00, 2.161104731969055504e+00, 2.440707542888276294e+00, 2.440519899560503525e+00, 2.461206032128183896e+00, 2.116771147604039172e+00, 2.084608275648260012e+00, 2.206693456593949776e+00
2.055000000000000000e+03, 2.068385494732663421e+00, 2.278719382011102468e+00, 2.313692764717709682e+00, 2.311260149110645035e+00, 2.200649135779231269e+00, 2.280269426121028786e+00, 2.145979678460803175e+00, 2.136195072794104366e+00, 2.822048079328725034e+00, 2.013854351336904713e+00, 2.286261310526032542e+00, 2.341470665265814155e+00, 2.347044661729184245e+00, 2.237004557944508587e+00, 1.996866176273311755e+00, 2.258935359428520417e+00
2.056000000000000000e+03, 1.966464031196103690e+00, 2.430205942210163617e+00, 2.338714723063120005e+00, 2.244006880727587472e+00, 2.429304507381612410e+00, 2.200985623930821866e+00, 2.179780342932723158e+00, 2.059208930316355879e+00, 2.637301209230153987e+00, 2.099191302259619363e+00, 2.260196464646157199e+00, 2.341627526640280177e+00, 2.383110949851763305e+00, 2.288887192835634909e+00, 2.036646886930566058e+00, 2.316351614111643364e+00
2.057000000000000000e+03, 2.122602349886377304e+00, 2.316123605959520937e+00, 2.333334101461557175e+00, 2.331185156088161126e+00, 2.317566773938201763e+00, 2.215317247617420104e+00, 2.004759533105986424e+00, 2.267567745191644057e+00, 2.682837296895605128e+00, 2.030342035494489661e+00, 2.375737546091215791e+00, 2.374569707398341389e+00, 2.456001149331490829e+00, 2.223453062636087552e+00, 1.927141203259478575e+00, 2.212063876920393302e+00
2.058000000000000000e+03, 2.162600265248173503e+00, 2.327545951524782719e+00, 2.403521946794803466e+00, 2.327173653533217479e+00, 2.314290755935312749e+00, 2.225906228516331797e+00, 2.061284917756471824e+00, 2.259422761843407734e+00, 2.709041221955811540e+00, 1.989485404164949456e+00, 2.482757762971777193e+00, 2.344146690377406639e+00, 2.583541826163291866e+00, 2.199296287646889780e+00, 2.089761072819661170e+00, 2.246062078473680224e+00
2.059000000000000000e+03, 2.129042847702523389e+00, 2.354000241498643842e+00, 2.248959251079110988e+00, 2.347387590206905905e+00, 2.273246026914657492e+00, 2.293389043010915174e+00, 2.204235044107651031e+00, 2.323899265096030398e+00, 2.592808532723695158e+00, 2.018745056301691765e+00, 2.378656162000570173e+00, 2.271432335547189929e+00, 2.501696260341427447e+00, 2.249885333455551972e+00, 2.086873110002570808e+00, 2.220055536557012932e+00
2.060000000000000000e+03, 1.913425343296922598e+00, 2.408331262751404633e+00, 2.421532530589495913e+00, 2.318760952462562308e+00, 2.300204197928902072e+00, 2.145160767096918608e+00, 2.086656702214825909e+00, 2.379205744473980477e+00, 2.705834120330207426e+00, 2.125245987816393178e+00, 2.405893613547410048e+00, 2.319960587032734889e+00, 2.540086278963166411e+00, 2.222619437327326697e+00, 2.004145845361370970e+00, 2.110773681280425418e+00
2.061000000000000000e+03, 2.025058534764142326e+00, 2.276053776983250287e+00, 2.437805552258128117e+00, 2.325166364078953496e+00, 2.403638267307839804e+00, 2.205379552048767788e+00, 2.141280413119536430e+00, 2.420607016324146432e+00, 2.597934196543895347e+00, 1.989772440092648420e+00, 2.396263666126703384e+00, 2.190124550810124138e+00, 2.552331856664761478e+00, 2.209719689317831026e+00, 2.184188988735193515e+00, 2.248661981903606666e+00
2.062000000000000000e+03, 2.133978977599177984e+00, 2.331050012097969137e+00, 2.463798710984113072e+00, 2.457710886256284422e+00, 2.286014707210792363e+00, 2.251795007836846274e+00, 2.147412969039622865e+00, 2.391232079333159621e+00, 2.680407672911480077e+00, 2.020353065682008786e+00, 2.452965019815790626e+00, 2.313445847402294309e+00, 2.392377790665784598e+00, 2.188081485285180872e+00, 2.119336144782876019e+00, 2.420810625642079383e+00
