year, CNRM-ESM2-1, MPI-ESM1-2-LR, ACCESS-ESM1-5, IPSL-CM6A-LR, GFDL-ESM4, CESM2-WACCM, EC-Earth3-Veg, CanESM5, NorESM2-LM, NorESM2-MM, TaiESM1, CMCC-CM2-SR5, MIROC-ES2L
2.053000000000000000e+03, 7.280177149509947299e+01, 5.961504104666072834e+01, 1.055044758472371313e+01, 2.214480053208676580e+01, 5.698108443664867195e+01, 7.771962225340045549e+00, 1.228122437722429972e+01, 1.888070926853065501e+01, 7.754552886704750847e+00, 8.011108312783809637e+00, 1.855205357109629194e+00, 1.021986610575801180e+01, 7.823797176113842511e+01
2.054000000000000000e+03, 7.318460784454737222e+01, 5.964947561710737034e+01, 1.056761610159279385e+01, 2.224135456540127720e+01, 5.738143540866444425e+01, 7.866139870759151442e+00, 1.193819279858935722e+01, 1.841519159038637810e+01, 7.604473023510630370e+00, 8.063203656528834529e+00, 2.136158571839652076e+00, 1.053805830637093344e+01, 7.830722911210564519e+01
2.055000000000000000e+03, 7.317767245937410792e+01, 5.971625174257896873e+01, 1.057121064395767362e+01, 2.235562994191414532e+01, 5.747029515866393723e+01, 7.778738897975776112e+00, 1.189569949340030242e+01, 1.862253792234838912e+01, 7.688356463025633580e+00, 7.897316708715380607e+00, 2.030209164786586751e+00, 1.103866687843056482e+01, 7.819926002100596918e+01
2.056000000000000000e+03, 7.322132789054055024e+01, 5.975775871024535491e+01, 1.061101982176431591e+01, 2.250381807646762056e+01, 5.771400531073028617e+01, 7.573986002016066976e+00, 1.204911324538984729e+01, 1.891531223689190355e+01, 7.644230967387034781e+00, 7.954013909464609178e+00, 1.934619273401141148e+00, 1.134732053725668877e+01, 7.819123156317567691e+01
2.057000000000000000e+03, 7.355678218623923215e+01, 5.989738358093475767e+01, 1.071162805072847668e+01, 2.254941098301857139e+01, 5.784094171360082015e+01, 7.550040140009237177e+00, 1.241524979562099595e+01, 1.885828308817444920e+01, 7.775780782177434070e+00, 7.956995566002343701e+00, 1.938057980119110235e+00, 1.050899510872318920e+01, 7.840005391304856630e+01
2.058000000000000000e+03, 7.377231747115318683e+01, 6.015921400167215438e+01, 1.078983802854240714e+01, 2.264917642837348311e+01, 5.805182722209936941e+01, 7.755459533126048299e+00, 1.236531585740683248e+01, 1.873029429291787906e+01, 7.744364017502929798e+00, 8.166846466521958448e+00, 1.797810326236359169e+00, 1.044681915493663382e+01, 7.848150288815047304e+01
2.059000000000000000e+03, 7.431339869710194534e+01, 6.040112815413795033e+01, 1.075762394103764663e+01, 2.280416558789266901e+01, 5.834169822330062516e+01, 7.716209549038601345e+00, 1.232945699583484434e+01, 1.884678281872293937e+01, 7.761058831835154770e+00, 8.347866745921493248e+00, 1.987531333658042909e+00, 1.065403234201441052e+01, 7.847523794023423704e+01
2.060000000000000000e+03, 7.427139147731992352e+01, 6.048713114568615623e+01, 1.080210853486260092e+01, 2.272472450057326654e+01, 5.839873665378838297e+01, 7.856974361144561492e+00, 1.205489850891998138e+01, 1.862385006910660934e+01, 7.765975389882583180e+00, 8.196233802084831765e+00, 2.201834812821920284e+00, 1.074757665482292879e+01, 7.850414050565943569e+01
2.061000000000000000e+03, 7.467371913548781492e+01, 6.036720888517015737e+01, 1.087574331803825523e+01, 2.277347912983399425e+01, 5.858602593266223124e+01, 7.842189003121126767e+00, 1.170653630584750005e+01, 1.873953637819655427e+01, 7.791870347454427304e+00, 8.174280651359806527e+00, 2.317312325918990723e+00, 1.063390465963614417e+01, 7.868303704026448031e+01
2.062000000000000000e+03, 7.466265365340342441e+01, 6.028473042682718130e+01, 1.085768254507861919e+01, 2.292473494615028073e+01, 5.850854725929361422e+01, 7.937649588397470701e+00, 1.163679290947969314e+01, 1.871229607447013166e+01, 7.874108800191385704e+00, 8.323088430318842157e+00, 1.675704223214207200e+00, 1.051265028310894678e+01, 7.872399972784172917e+01
2.063000000000000000e+03, 7.447853221985411665e+01, 6.020887835359991413e+01, 1.084476733339140431e+01, 2.283148602774022606e+01, 5.876620229216685942e+01, 8.014464135292714175e+00, 1.181639965598830955e+01, 1.868375865748667763e+01, 8.037969373273574192e+00, 8.415546184881076641e+00, 1.746054165001743819e+00, 1.107292293219516743e+01, 7.870704189631445047e+01
2.064000000000000000e+03, 7.461938845894653127e+01, 6.034614969782999339e+01, 1.082846130174285548e+01, 2.286898131868687400e+01, 5.884494776536855909e+01, 8.014991562745663600e+00, 1.180042510811957257e+01, 1.874934972931447774e+01, 8.081869420796369496e+00, 8.410103550585894538e+00, 2.154082471655862641e+00, 1.118999440210696683e+01, 7.881347822850798934e+01
2.065000000000000000e+03, 7.485256790475166611e+01, 6.048769396994639891e+01, 1.081539777319607865e+01, 2.298102178739248558e+01, 5.898137139949795937e+01, 8.044258307668920693e+00, 1.185498303012328414e+01, 1.865584730499008970e+01, 7.964302101730694972e+00, 8.253996957019138492e+00, 1.963843753450323693e+00, 1.078016716955476184e+01, 7.923704845279293352e+01
2.066000000000000000e+03, 7.521674997460259249e+01, 6.069263910274486307e+01, 1.076490399958674615e+01, 2.294140810275664322e+01, 5.917800243503946689e+01, 8.000190422323408157e+00, 1.199179238366276223e+01, 1.857745600857109736e+01, 7.786712932841361123e+00, 8.116649537987131069e+00, 1.798778757581739773e+00, 1.090514767307428023e+01, 7.954768847377974339e+01
