year, MIROC-ES2L, UKESM1-0-LL, CESM2-WACCM, MPI-ESM1-2-LR, CNRM-ESM2-1, ACCESS-ESM1-5, CMCC-CM2-SR5, EC-Earth3-Veg, IPSL-CM6A-LR
2.087000000000000000e+03, 2.899261460452723149e+00, 8.448412204940118631e-02, 1.635264052668087276e+00, 2.286509817396764177e+00, 1.269136660136292727e-01, 3.153416973310196436e+00, 1.546753823595317767e+00, 9.442759583585128014e-02, 7.740520943848110402e-01
2.088000000000000000e+03, 2.893578499052058106e+00, 8.212241794801786177e-02, 1.658412761465513530e+00, 2.286903258535207595e+00, 1.258815110155523387e-01, 3.143947748751561022e+00, 1.542902609400383485e+00, 9.361948045125646767e-02, 7.743342484982758123e-01
2.089000000000000000e+03, 2.892471949981356261e+00, 8.088368491061515009e-02, 1.665440837892243398e+00, 2.271477705656346657e+00, 1.250690960555416176e-01, 3.135614042368644050e+00, 1.538683496033234732e+00, 9.302102696388998837e-02, 7.743755445657917180e-01
2.090000000000000000e+03, 2.890807905653360432e+00, 8.038556088540010913e-02, 1.665440430402802985e+00, 2.261529783859141496e+00, 1.240785857175662754e-01, 3.127747255689192762e+00, 1.534081896310895754e+00, 9.260432546432902090e-02, 7.748448063895385651e-01
2.091000000000000000e+03, 2.895945850882037487e+00, 7.833131278146995835e-02, 1.652752759231321367e+00, 2.272536301520990509e+00, 1.250897081145688483e-01, 3.119835913017194873e+00, 1.529356939088583722e+00, 9.144444643212029655e-02, 7.739841889570722167e-01
2.092000000000000000e+03, 2.905819386845477137e+00, 7.635600059467770317e-02, 1.641962797548495168e+00, 2.274191718375062177e+00, 1.265704866886671609e-01, 3.112079351890946644e+00, 1.524579871062101466e+00, 9.051033960557815228e-02, 7.721059743020125543e-01
2.093000000000000000e+03, 2.908421780366720277e+00, 7.475463672651704028e-02, 1.634215867223279828e+00, 2.260352773631420842e+00, 1.277883591134500729e-01, 3.105109802868342594e+00, 1.519576340148057536e+00, 8.985797236399127585e-02, 7.711430868601961697e-01
2.094000000000000000e+03, 2.909313624003847742e+00, 7.340996568683202939e-02, 1.611621149846486745e+00, 2.248367221480744860e+00, 1.286134514927086137e-01, 3.098632968120639042e+00, 1.513696274341781001e+00, 8.957328100940363524e-02, 7.698402991091346514e-01
2.095000000000000000e+03, 2.913320151330748065e+00, 7.232255794185364628e-02, 1.569614529279439008e+00, 2.246486295899307706e+00, 1.299628847220858086e-01, 3.091238460755509898e+00, 1.510162402666850756e+00, 8.932622859782979319e-02, 7.683526126876230045e-01
2.096000000000000000e+03, 2.910396793833954110e+00, 7.357328205566676660e-02, 1.549587116694276068e+00, 2.232972983082785134e+00, 1.351924385454052746e-01, 3.108769873614926293e+00, 1.509363584939581671e+00, 8.853344916173028212e-02, 7.692836950226954462e-01
2.097000000000000000e+03, 2.906176612556390371e+00, 7.936106955474209190e-02, 1.550982203183317143e+00, 2.223910355325401156e+00, 1.409524795275017561e-01, 3.111302148335251427e+00, 1.508125904621661295e+00, 8.811526105566629130e-02, 7.699859329798020013e-01
2.098000000000000000e+03, 2.899536994956148472e+00, 8.338379085523020540e-02, 1.539287042304284814e+00, 2.216304615354820928e+00, 1.451965000072537593e-01, 3.114153846798405123e+00, 1.505936980877653486e+00, 8.830655621211531969e-02, 7.712610878019906524e-01
2.099000000000000000e+03, 2.881517357065137119e+00, 8.801657324434571106e-02, 1.516048176365615507e+00, 2.212563039796066278e+00, 1.480127761691202304e-01, 3.117085777821967607e+00, 1.503172618525036697e+00, 8.876634512235974384e-02, 7.692142954013871936e-01
2.100000000000000000e+03, 2.869891868683233316e+00, 9.102425201235904428e-02, 1.515731888997152277e+00, 2.185326091011329908e+00, 1.495567586757737266e-01, 3.119647980267255871e+00, 1.448956150508740937e+00, 8.996825198047464500e-02, 7.689823720165653853e-01
