year, MPI-ESM1-2-LR, TaiESM1, NorESM2-LM, CanESM5, INM-CM5-0, CESM2-WACCM, GFDL-ESM4, CNRM-ESM2-1, CMCC-CM2-SR5, EC-Earth3-Veg, ACCESS-ESM1-5, IPSL-CM6A-LR, NorESM2-MM, MIROC-ES2L, UKESM1-0-LL, INM-CM4-8
2.040000000000000000e+03, 2.344503873965740059e-01, 3.141064245046446546e-01, 1.654522784807224700e-01, 2.837370803342613157e-01, -1.184111989223264050e-01, 7.804414444847589394e-01, 3.934410687407294271e-01, 6.906626382859077928e-01, -5.422029240033100772e-02, -1.583120876416932721e-01, 3.093907305823949405e-02, 6.742394317212241361e-01, 4.652204473221984160e-01, 7.720818525621377937e-01, 3.145107697743868558e-01, 2.527683705402939407e-01
2.041000000000000000e+03, 1.605581283016264682e-01, 1.707766371811928960e-02, 2.392715595873057821e-01, 3.910741824093152408e-01, 5.236570530842976634e-03, 6.053060796893172668e-01, 1.637848225843311634e-01, 9.396489780179936302e-01, -2.551455456125278909e-02, -4.750025736327440073e-02, 1.116850531809994856e-01, 4.690014980090029262e-01, 5.173111113230498548e-01, 5.598815334760260942e-01, 1.212047686172072064e-01, 8.424376130981033883e-01
2.042000000000000000e+03, 7.829863076102441255e-01, -9.861020208324466907e-01, 6.230742020543752480e-01, 4.890184279076449925e-01, 4.189251605966101688e-01, 5.619710434037565872e-01, 8.684547534037294625e-01, 1.083202214383125250e+00, -2.833718468222681808e-01, -1.520519739115426539e-01, 9.131610231193565408e-01, 6.413669572011252429e-01, 5.357466564570282364e-01, 7.826672914113956825e-01, 1.955995019654434841e-01, 2.226838912541960758e-01
2.043000000000000000e+03, -6.016149642319731233e-02, 7.286303850705752039e-01, 2.928222870695803559e-01, 4.968423036430514861e-01, 2.541037954425259260e-01, 5.410334068649969019e-01, -4.705724161607911793e-02, 1.185046438130576973e+00, 9.811497057993910920e-01, 7.873045508288912808e-01, 1.729226463222502397e-01, 3.407789649471647531e-01, 3.906090050400082281e-01, 4.092016986031852266e-01, 3.770983347040930966e-01, 2.843030447343250500e-01
2.044000000000000000e+03, 5.481164720469995366e-01, 5.266444469380162641e-01, 2.613098953754137699e-01, 6.034006217336648215e-01, 2.091408935834114524e-01, 4.890008686796878945e-01, 3.536637290399282652e-01, 1.381979189861084256e+00, 1.364629092005678335e-01, 3.796788101687795791e-01, 4.681074221659111134e-01, 8.230945716519114663e-01, 2.198264625779503545e-01, 2.136994212553005867e-01, 3.740540557455787063e-01, 1.090451401566707057e+00
2.045000000000000000e+03, 3.782370863293092467e-01, 4.178713502934413015e-01, 1.829542982872003898e-01, 1.520654424671892824e-01, 1.867908501096520457e-01, 4.448736005661515502e-01, 6.541260510724838939e-01, 5.634495063841984397e-01, -2.653253485150938173e-01, 2.968735644899573312e-01, 2.403072805445387594e-01, 7.004153731982823983e-01, 3.270756522243696285e-01, 5.542935078843028718e-01, 2.472587314514937407e-02, 2.473450675749760685e-01
2.046000000000000000e+03, 3.468423333272050435e-01, -6.611411359905507990e-01, 2.436535096447140780e-01, 6.758335979923975056e-01, 1.250088457649817686e+00, 7.154635033702468894e-01, 2.165863255935752130e-01, 8.000877648155608757e-01, -1.846856284387919933e+00, 6.584985045707489881e-01, -2.066956122285492914e-01, 9.816277412118649126e-01, 5.056328978186914735e-01, 2.007501378605645037e-01, 3.043138107437562967e-01, 3.338070768584104342e-01
2.047000000000000000e+03, 2.636447526286180842e-01, -1.325386318874607339e-01, 4.899140677999100357e-01, 6.392536582057773975e-01, 7.283321421599657786e-01, 6.086446731987777969e-01, 5.792915134634833985e-01, 1.423789118639225304e+00, 2.201270119970055728e-01, 7.452729716160852447e-02, 3.941175075512300396e-01, 6.234507205848598410e-01, 4.597977967507619890e-01, 1.532307735648088254e-01, 2.429484012926728942e-01, 3.844357053110927791e-01
2.048000000000000000e+03, 2.328528191585029217e-01, 4.522203980346760077e-01, 2.621738699192401323e-01, 1.041043415609435918e+00, 5.374558509587004096e-01, 3.547475245715317471e-01, -8.079159480201357491e-02, 8.736034253007904926e-01, -3.974129990861930972e-01, -1.519945081177084267e-01, 2.323731169404631702e-01, 2.620865565121363594e-01, 3.382093709440274765e-01, 6.668340896487894298e-01, 1.839460725149971720e-01, 3.013819798171956110e-01
2.049000000000000000e+03, 7.019685984922157118e-01, -7.252602987884758656e-01, 4.605928311650092644e-01, 6.607452728091118832e-01, 5.424073720757153216e-01, 5.191005614095323129e-01, 7.865303088178910995e-01, 1.330239583694833305e+00, 5.068718654018452563e-01, 9.719450931718504050e-01, -2.555496167190732804e-01, 8.971614481487628634e-01, 4.901801869176895532e-01, 9.906690104606000746e-01, 5.765919096630534729e-02, -1.569197009734061010e-01
2.050000000000000000e+03, 1.337628432670251721e-01, -5.046683354554515333e-01, 7.176385947624375206e-01, 4.754543390971268102e-01, 1.208106133294734263e+00, 5.750979726236402634e-01, 1.558468880548233015e-01, 1.184169652673211282e+00, -5.620885829357703534e-01, 3.577954506117149158e-01, -1.645275167508895298e-01, 8.858974460649441385e-01, 2.677836094106909037e-01, -5.956520769031869306e-02, 1.811732453473146043e-01, 4.279708903588916868e-01
