year, CESM2-WACCM, UKESM1-0-LL, CMCC-ESM2, ACCESS-ESM1-5, MPI-ESM1-2-LR, MIROC-ES2L, CNRM-ESM2-1, IPSL-CM6A-LR
2.085000000000000000e+03, 8.211041635303930097e-10, 8.896180069715707520e-12, 1.501518754724029736e-10, 1.133628651116282203e-10, 7.600235940399486585e-10, 1.165255960888819797e-09, 4.822485507484485975e-11, 2.095675638181079837e-09
2.086000000000000000e+03, 8.776801726783045774e-10, 6.659833519294079379e-12, 1.499005975126995164e-10, 1.116515993490626923e-10, 7.729822306309238024e-10, 1.170798202803931526e-09, 4.839344430699577168e-11, 1.991591509676891311e-09
2.087000000000000000e+03, 7.612008445658071665e-10, 5.371994338928072088e-12, 1.494754758206396971e-10, 1.086317872480238849e-10, 7.869780693145556384e-10, 1.162959574719656034e-09, 4.793102265166214531e-11, 1.981965957369829240e-09
2.088000000000000000e+03, 8.545995556311782108e-10, 4.794667820089102377e-12, 1.489399158907392201e-10, 1.071412710451726900e-10, 7.977906494420822826e-10, 1.155805692081965826e-09, 4.740677983497041422e-11, 1.961170056251082240e-09
2.089000000000000000e+03, 8.975531574755505272e-10, 5.083309369561509735e-12, 1.483801639453795839e-10, 1.063813197451595584e-10, 7.871695854549387842e-10, 1.158195403472282707e-09, 4.691043604313767807e-11, 2.049379943848175681e-09
2.090000000000000000e+03, 9.177582862874272701e-10, 5.734619874864603683e-12, 1.478853543356505694e-10, 1.057563847180323714e-10, 7.832100564503587001e-10, 1.155872278100464389e-09, 4.653381719445293300e-11, 2.165224914090771105e-09
2.091000000000000000e+03, 9.304753786166764679e-10, 4.998337226434489004e-12, 1.473757733191269479e-10, 1.050190389130773383e-10, 8.088025332697752082e-10, 1.164575095962277914e-09, 4.661920145677022688e-11, 1.997117463104117344e-09
2.092000000000000000e+03, 9.437874816129112543e-10, 4.462142536954936907e-12, 1.468670617285615895e-10, 1.043273690870074611e-10, 8.210144660415535441e-10, 1.172738456548945606e-09, 4.670105421787418923e-11, 2.035266827593580107e-09
2.093000000000000000e+03, 9.622185394322351413e-10, 4.211396009765541358e-12, 1.462900727574244029e-10, 1.039481591129730749e-10, 8.114010056377332359e-10, 1.167386147492505630e-09, 4.689127093363191576e-11, 2.118914203722012253e-09
2.094000000000000000e+03, 9.332899646330779203e-10, 4.106636866053346742e-12, 1.455919712422883280e-10, 1.036442637265688920e-10, 8.049316094355435999e-10, 1.165675845307976351e-09, 4.707751381419860043e-11, 2.132930047255804341e-09
2.095000000000000000e+03, 8.427056480461197123e-10, 4.157896264452576141e-12, 1.455286548411213707e-10, 1.028142938282497643e-10, 8.134246852451159015e-10, 1.168584886426769156e-09, 4.723749306524474668e-11, 2.012788917598092269e-09
2.096000000000000000e+03, 8.198785935351276683e-10, 5.946918385071013764e-12, 1.460215503249080466e-10, 1.126743203530409662e-10, 8.043011238114751018e-10, 1.161978934955046523e-09, 4.794539823883262659e-11, 2.048521733807432876e-09
2.097000000000000000e+03, 8.586879735807088586e-10, 1.059507794973626969e-11, 1.462186133562297583e-10, 1.118786176667185359e-10, 8.009149227911483806e-10, 1.157016834515476750e-09, 4.968069544821712441e-11, 2.013412532269588674e-09
2.098000000000000000e+03, 8.557972295619573537e-10, 1.288620706721128089e-11, 1.462269046836896611e-10, 1.118216621669325418e-10, 7.997979349762659882e-10, 1.148599347220576717e-09, 5.177022468158000264e-11, 2.171741239246235732e-09
2.099000000000000000e+03, 8.173570259823915843e-10, 1.528626495635765240e-11, 1.460949382186853352e-10, 1.120139813744213012e-10, 8.019413477303079473e-10, 1.128853842308050040e-09, 5.375632534371363773e-11, 2.183650927163298870e-09
2.100000000000000000e+03, 8.492969316576665634e-10, 1.612359892331076861e-11, 1.337789295288292556e-10, 1.121274796030086212e-10, 7.671644495797027456e-10, 1.124388637739943446e-09, 5.567141273264059676e-11, 2.120755350735817058e-09
