year, CNRM-ESM2-1, TaiESM1, NorESM2-MM, NorESM2-LM, GFDL-ESM4
2.059000000000000000e+03, 9.271622710286043767e-10, 2.390943096067943887e-10, 1.843536937926725449e-10, 1.247977507433138865e-10, 7.617319686197239359e-10
2.060000000000000000e+03, 7.645143198183243488e-10, 3.434779953527322491e-10, 1.193970922457328686e-10, 1.314896584365846084e-10, 9.560230030514968848e-10
2.061000000000000000e+03, 8.922111277645362588e-10, 2.828316332403553180e-10, 2.266508212964441506e-10, 1.217423712528265811e-10, 1.028656893864955962e-09
2.062000000000000000e+03, 1.011147859111766167e-09, 2.215465345239725985e-10, 1.943097289080598743e-10, 1.200160828665953968e-10, 9.696294536285949727e-10
2.063000000000000000e+03, 1.016410280679899672e-09, 2.415032335536674413e-10, 2.813041481129465923e-10, 1.338618678616753516e-10, 1.060562135879081651e-09
2.064000000000000000e+03, 8.010975606194531672e-10, 2.804719427081500576e-10, 1.928623648107564904e-10, 1.502031470489043360e-10, 1.017601267306282151e-09
2.065000000000000000e+03, 9.836721961694773928e-10, 3.206060669882381924e-10, 1.298723245983695922e-10, 9.913199504276375700e-11, 9.751886249278650904e-10
2.066000000000000000e+03, 7.893331143057028749e-10, 2.446851747975685578e-10, 1.895119269999070013e-10, 1.347541238512254947e-10, 1.420766390238252928e-09
2.067000000000000000e+03, 8.701202779216827544e-10, 2.356446041957976012e-10, 2.557051645379681446e-10, 1.860509965540933437e-10, 1.517822488491237622e-09
2.068000000000000000e+03, 7.707496685108043361e-10, 2.800984650280634788e-10, 1.915460384384926570e-10, 2.162992625637708071e-10, 1.072982064517160973e-09
2.069000000000000000e+03, 8.044025839272622100e-10, 2.540410055717156653e-10, 2.757727198163361654e-10, 7.976991768241990512e-11, 9.543552034853097127e-10
2.070000000000000000e+03, 9.754061929705437506e-10, 2.548246383079519562e-10, 2.307604881966461224e-10, 1.416418961020051964e-10, 1.039222752092728799e-09
2.071000000000000000e+03, 6.599100463043879766e-10, 2.553627184582083407e-10, 2.009310700962334251e-10, 8.271312495877515895e-11, 1.092651319300898620e-09
2.072000000000000000e+03, 1.035683294070109178e-09, 2.385854743290018457e-10, 1.265007060208668554e-10, 1.618780831822168764e-10, 9.880704068119971647e-10
2.073000000000000000e+03, 1.065940561634696407e-09, 2.531209597133121105e-10, 1.956621805643468335e-10, 1.585875400125196566e-10, 9.126494866338130539e-10
2.074000000000000000e+03, 8.409797214468560605e-10, 3.348551988814355453e-10, 2.092584327113718203e-10, 1.261383989919521046e-10, 1.092907838140620609e-09
2.075000000000000000e+03, 9.446099510213905154e-10, 2.419265932540276341e-10, 2.048651893405753523e-10, 1.196592190768045456e-10, 9.812143463782747915e-10
2.076000000000000000e+03, 7.849629876912640797e-10, 2.201168475524928858e-10, 2.076724487648036299e-10, 1.495462129150751967e-10, 1.498213603902995730e-09
2.077000000000000000e+03, 8.429879751307437306e-10, 2.562479375081739748e-10, 2.353964370471700916e-10, 1.303868140235887977e-10, 8.261184867488513175e-10
2.078000000000000000e+03, 9.039621103704534986e-10, 2.802889659279323607e-10, 2.058090389490408201e-10, 2.263583047202794971e-10, 9.384673942073780046e-10
2.079000000000000000e+03, 1.171981663617111380e-09, 2.777175204672124073e-10, 1.128271013981738826e-10, 1.443813767387059585e-10, 1.611481153905195624e-09
2.080000000000000000e+03, 8.628352868834065821e-10, 2.738767728968408649e-10, 2.342072164611336044e-10, 1.511986776792670810e-10, 9.460735244587921738e-10
2.081000000000000000e+03, 1.055863205383552297e-09, 2.613418908375797120e-10, 2.721516197177038491e-10, 1.885529678507266944e-10, 9.961993586140853282e-10
2.082000000000000000e+03, 8.314362866586875553e-10, 2.740132337054705668e-10, 2.978690267979297689e-10, 1.965344569557300171e-10, 1.154040148247478000e-09
2.083000000000000000e+03, 1.010994659406728401e-09, 2.783956495741216663e-10, 2.348960606831790256e-10, 1.615037683233298460e-10, 1.269249598397963959e-09
2.084000000000000000e+03, 1.746718166170777311e-09, 2.968567605864327328e-10, 1.909751471269448681e-10, 1.379352544874909884e-10, 1.545216775290765536e-09
2.085000000000000000e+03, 8.535700375889601645e-10, 2.886516505708089991e-10, 2.140267584306894341e-10, 2.317598202461299782e-10, 1.195735419737646554e-09
2.086000000000000000e+03, 9.925252965527932828e-10, 2.186835304230453394e-10, 2.010088151606075139e-10, 1.791577579817556945e-10, 1.205305073455082141e-09
2.087000000000000000e+03, 7.486468484840382132e-10, 2.665107530500084003e-10, 1.605894330367314595e-10, 1.745555702181802647e-10, 1.278088454414377759e-09
2.088000000000000000e+03, 1.051491087816648658e-09, 3.086139681754487795e-10, 1.836507364078996579e-10, 1.617980882443942158e-10, 1.120323411368786430e-09
2.089000000000000000e+03, 1.428802622505787076e-09, 3.106607439188526057e-10, 1.870846678730745327e-10, 1.665695707941930086e-10, 1.238045790040161834e-09
2.090000000000000000e+03, 1.049058979035726298e-09, 2.348911091052685458e-10, 1.897870218905647267e-10, 1.416859216575730133e-10, 1.215767661239798309e-09
